FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,,
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.B.15: Remote access to critical systems by employees, contractors, and third parties uses encrypted connections and multifactor authentication.",Baseline,Full,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PR.IR-01.05,PROTECT / Technology Infrastructure Resilience / Logical Access Protections
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.B.16: Administrative, physical, or technical controls are in place to prevent users without administrative responsibilities from installing unauthorized software.",Baseline,Full,"DE.CM-09.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block the use of unsupported or unauthorized software, hardware, or configuration changes.",DE.CM-09.03,"DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.B.17: Customer service (e.g., the call center) utilizes formal procedures to authenticate customers commensurate with the risk of the transaction or request.",Baseline,Full,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.",PR.AA-03.01,"PROTECT / Identity Management, Authentication, and Access Control / Authentication"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.B.18: Data is disposed of or destroyed according to documented requirements and within expected time frames.,Baseline,Full,"ID.AM-08.05: The organization defines and implements standards and procedures, consistent with its data retention policy, for destroying or securely erasing data, media, and storage devices when the data is no longer needed.",ID.AM-08.05,IDENTIFY / Asset Management / Asset Life Cycle Management
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.E.1: Changes to user access permissions trigger automated notices to appropriate personnel.,Evolving,Partial,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).",PR.AA-01.01,"PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.E.2: Administrators have two accounts: one for administrative use and one for general purpose, non-administrative tasks.",Evolving,Full,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)",PR.AA-05.02,"PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.E.3: Use of customer data in non-production environments complies with legal, regulatory, and internal policy requirements for concealing or removing of sensitive data elements.",Evolving,Full,PR.IR-01.06: The organization's production and non-production environments and data are segregated and managed to prevent unauthorized access or changes to the information assets.,PR.IR-01.06,PROTECT / Technology Infrastructure Resilience / Logical Access Protections
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.E.4: Physical access to high-risk or confidential systems is restricted, logged, and unauthorized access is blocked.",Evolving,Full Summarily,"PR.AA-01.02: Physical and logical access to systems is permitted only for individuals who have a legitimate business requirement, have been authorized, and who are adequately trained and monitored.",PR.AA-01.02,"PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.E.4: Physical access to high-risk or confidential systems is restricted, logged, and unauthorized access is blocked.",Evolving,Full Summarily,"PR.AA-06.01: The organization manages, protects, and logs physical access to sensitive areas, devices, consoles, equipment, and network cabling and infrastructure.",PR.AA-06.01,"PROTECT / Identity Management, Authentication, and Access Control / Physical Access"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.E.4: Physical access to high-risk or confidential systems is restricted, logged, and unauthorized access is blocked.",Evolving,Full Summarily,"PR.AA-06.02: The organization manages and protects physical and visual access to sensitive information assets and physical records (e.g., session lockout, clean desk policies, printer/facsimile output trays, file cabinet/room security, document labelling, etc.)",PR.AA-06.02,"PROTECT / Identity Management, Authentication, and Access Control / Physical Access"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.E.4: Physical access to high-risk or confidential systems is restricted, logged, and unauthorized access is blocked.",Evolving,Full Summarily,"DE.CM-02.01: The organization's controls include monitoring and detection of anomalous activities and potential intrusion events across the organization's physical environment and infrastructure, including the detection of environmental threats (fire, water, service outages, etc.) and unauthorized physical access to high-risk system components and locations.",DE.CM-02.01,DETECT / Continuous Monitoring / Physical Environment Monitoring
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.E.5: Controls are in place to prevent unauthorized access to cryptographic keys.,Evolving,Full,"PR.PS-01.07: Cryptographic keys and certificates are tracked, managed, and protected throughout their lifecycles, to include for compromise and revocation.",PR.PS-01.07,PROTECT / Platform Security / Configuration Management
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Int.1: The institution has implemented tools to prevent unauthorized access to or exfiltration of confidential data.,Intermediate,Full,PR.DS-01.02: The organization implements data loss identification and prevention tools to monitor and protect against confidential data theft or destruction by an employee or an external actor.,PR.DS-01.02,PROTECT / Data Security / Protection of Data at Rest
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Int.2: Controls are in place to prevent unauthorized escalation of user privileges.,Intermediate,Full Summarily,"PR.AA-05.03: The organization institutes controls over service account (i.e., accounts used by systems to access other systems) lifecycles to ensure strict security over creation, use, and termination; access credentials (e.g., no embedded passwords in code); frequent reviews of account ownership; visibility for unauthorized use; and hardening against malicious insider use.",PR.AA-05.03,"PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Int.2: Controls are in place to prevent unauthorized escalation of user privileges.,Intermediate,Full Summarily,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DE.CM-03.02,DETECT / Continuous Monitoring / Personnel Activity Monitoring
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Int.2: Controls are in place to prevent unauthorized escalation of user privileges.,Intermediate,Full Summarily,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DE.CM-03.03,DETECT / Continuous Monitoring / Personnel Activity Monitoring
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Int.3: Access controls are in place for database administrators to prevent unauthorized downloading or transmission of confidential data.,Intermediate,Full Summarily,"GV.RR-04.03: The organization integrates insider threat considerations into its human resource, risk management, and control programs to address the potential for malicious or unintentional harm by trusted employees or third parties.",GV.RR-04.03,"GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Int.3: Access controls are in place for database administrators to prevent unauthorized downloading or transmission of confidential data.,Intermediate,Full Summarily,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)",PR.AA-05.02,"PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Int.3: Access controls are in place for database administrators to prevent unauthorized downloading or transmission of confidential data.,Intermediate,Full Summarily,PR.DS-01.02: The organization implements data loss identification and prevention tools to monitor and protect against confidential data theft or destruction by an employee or an external actor.,PR.DS-01.02,PROTECT / Data Security / Protection of Data at Rest
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Int.3: Access controls are in place for database administrators to prevent unauthorized downloading or transmission of confidential data.,Intermediate,Full Summarily,"PR.PS-06.10: The organization establishes policies and procedures for the secure design, configuration, modification, and operation of databases, data stores, and data analytics platforms consistent with the criticality of the data being managed.",PR.PS-06.10,PROTECT / Platform Security / Secure Systems Development Practices
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Int.4: All physical and logical access is removed immediately upon notification of involuntary termination and within 24 hours of an employee’s voluntary departure.,Intermediate,Full Summarily,"GV.RR-04.02: The organization establishes processes and controls to mitigate cyber risks related to employment termination, as permitted by law, to include the return or disposition of all organizational assets.",GV.RR-04.02,"GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Int.4: All physical and logical access is removed immediately upon notification of involuntary termination and within 24 hours of an employee’s voluntary departure.,Intermediate,Full Summarily,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).",PR.AA-01.01,"PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Int.5: Multifactor authentication and/or layered controls have been implemented to secure all third-party access to the institution's network and/or systems and applications.,Intermediate,Full Summarily,"PR.AA-05.04: Specific roles, responsibilities, and procedures to manage the risk of third-party access to organizational systems and facilities are defined and implemented.",PR.AA-05.04,"PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Int.5: Multifactor authentication and/or layered controls have been implemented to secure all third-party access to the institution's network and/or systems and applications.,Intermediate,Full Summarily,"DE.CM-06.01: The organization reviews, documents, authorizes, and monitors all third-party connections, data transfer mechanisms, and Application Programming Interfaces (APIs).",DE.CM-06.01,DETECT / Continuous Monitoring / Service Provider Monitoring
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Int.5: Multifactor authentication and/or layered controls have been implemented to secure all third-party access to the institution's network and/or systems and applications.,Intermediate,Full Summarily,DE.CM-06.02: The organization implements an explicit approval and logging process and sets up automated alerts to monitor and prevent any unauthorized access to a critical system by a third-party service provider.,DE.CM-06.02,DETECT / Continuous Monitoring / Service Provider Monitoring
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.Int.6: Multifactor authentication (e.g., tokens, digital certificates) techniques are used for employee access to high-risk systems as identified in the risk assessment(s). (*N/A if no high risk systems.)",Intermediate,Full Summarily,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.",PR.AA-03.01,"PROTECT / Identity Management, Authentication, and Access Control / Authentication"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.Int.6: Multifactor authentication (e.g., tokens, digital certificates) techniques are used for employee access to high-risk systems as identified in the risk assessment(s). (*N/A if no high risk systems.)",Intermediate,Full Summarily,"PR.PS-01.09: Endpoint systems implemented using virtualization technologies employ mechanisms to protect network, application, and data integrity, such as restricting access to local network and peripheral devices, multi-factor authentication, locking-down device source network locations, and data leakage protections.",PR.PS-01.09,PROTECT / Platform Security / Configuration Management
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.Int.6: Multifactor authentication (e.g., tokens, digital certificates) techniques are used for employee access to high-risk systems as identified in the risk assessment(s). (*N/A if no high risk systems.)",Intermediate,Full Summarily,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PR.IR-01.05,PROTECT / Technology Infrastructure Resilience / Logical Access Protections
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.Int.7: Confidential data are encrypted in transit across private connections (e.g., frame relay and T1) and within the institution’s trusted zones.",Intermediate,Full,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PR.DS-02.01,PROTECT / Data Security / Protection of Data in Transit
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.Int.8: Controls are in place to prevent unauthorized access to collaborative computing devices and applications (e.g., networked white boards, cameras, microphones, online applications such as instant messaging and document sharing). (* N/A if collaborative comp",Intermediate,Full,"PR.IR-01.07: The organization defines and implements controls for securely configuring and operating Operational Technologies, Industrial Control Systems, and Internet-of-Things (IoT) devices (e.g., segregated printer networks, resetting of default passwords, etc.)",PR.IR-01.07,PROTECT / Technology Infrastructure Resilience / Logical Access Protections
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.A.1: Encryption of select data at rest is determined by the institution’s data classification and risk assessment.,Advanced,Full,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PR.DS-01.01,PROTECT / Data Security / Protection of Data at Rest
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.A.2: Customer authentication for high-risk transactions includes methods to prevent malware and man-in-the-middle attacks (e.g., using visual transaction signing).",Advanced,Full,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.",PR.AA-03.01,"PROTECT / Identity Management, Authentication, and Access Control / Authentication"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.Inn.1: Adaptive access controls de-provision or isolate an employee, third-party, or customer credentials to minimize potential damage if malicious behavior is suspected.",Innovative,Full,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).",PR.AA-01.01,"PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management"
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.Inn.2: Unstructured confidential data are tracked and secured through an identity-aware, cross-platform storage system that protects against internal threats, monitors user access, and tracks changes.",Innovative,Partial,"PR.PS-06.10: The organization establishes policies and procedures for the secure design, configuration, modification, and operation of databases, data stores, and data analytics platforms consistent with the criticality of the data being managed.",PR.PS-06.10,PROTECT / Platform Security / Secure Systems Development Practices
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.Inn.3: Tokenization is used to substitute unique values for confidential information (e.g., virtual credit card).",Innovative,Full Summarily,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PR.DS-01.01,PROTECT / Data Security / Protection of Data at Rest
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.Inn.3: Tokenization is used to substitute unique values for confidential information (e.g., virtual credit card).",Innovative,Full Summarily,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PR.DS-02.01,PROTECT / Data Security / Protection of Data in Transit
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.Inn.4: The institution is leading efforts to create new technologies and processes for managing customer, employee, and third-party authentication and access.",Innovative,Partial,ID.RA-02.02: The organization shares authorized information on its cyber resilience framework and the effectiveness of protection technologies bilaterally with trusted external stakeholders to promote the understanding of each party’s approach to securing systems.,ID.RA-02.02,IDENTIFY / Risk Assessment / Information Sharing Forums
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,"D3.PC.Am.Inn.4: The institution is leading efforts to create new technologies and processes for managing customer, employee, and third-party authentication and access.",Innovative,Partial,"ID.IM-01.04: Technology and cybersecurity programs include elements designed to assess, manage, and continually improve the quality of program delivery in addressing stakeholder requirements and risk reduction.",ID.IM-01.04,IDENTIFY / Improvement / Continuous Improvements Evaluation
3: Cybersecurity Controls / 1: Preventative Controls / 2: Access and Data Management,D3.PC.Am.Inn.5: Real-time risk mitigation is taken based on automated risk scoring of user credentials.,Innovative,Full,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.",PR.AA-03.01,"PROTECT / Identity Management, Authentication, and Access Control / Authentication"
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,D3.PC.De.B.1: Controls are in place to restrict the use of removable media to authorized personnel.,Baseline,Full,"PR.DS-01.03: The organization defines and implements controls for the protection and use of removable media (e.g., access/use restrictions, encryption, malware scanning, data loss prevention, etc.)",PR.DS-01.03,PROTECT / Data Security / Protection of Data at Rest
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,D3.PC.De.E.1: Tools automatically block attempted access from unpatched employee and third-party devices.,Evolving,Full,"DE.CM-01.04: The organization has policies, procedures, and tools in place to monitor for, detect, and block access from/to devices that are not authorized or do not conform to security policy (e.g., unpatched systems).",DE.CM-01.04,DETECT / Continuous Monitoring / Network Monitoring
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,D3.PC.De.E.2: Tools automatically block attempted access by unregistered devices to internal networks.,Evolving,Full Summarily,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DE.CM-01.03,DETECT / Continuous Monitoring / Network Monitoring
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,D3.PC.De.E.2: Tools automatically block attempted access by unregistered devices to internal networks.,Evolving,Full Summarily,"DE.CM-01.04: The organization has policies, procedures, and tools in place to monitor for, detect, and block access from/to devices that are not authorized or do not conform to security policy (e.g., unpatched systems).",DE.CM-01.04,DETECT / Continuous Monitoring / Network Monitoring
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,D3.PC.De.E.3: The institution has controls to prevent the unauthorized addition of new connections.,Evolving,Full Summarily,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DE.CM-01.03,DETECT / Continuous Monitoring / Network Monitoring
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,D3.PC.De.E.3: The institution has controls to prevent the unauthorized addition of new connections.,Evolving,Full Summarily,"DE.CM-06.01: The organization reviews, documents, authorizes, and monitors all third-party connections, data transfer mechanisms, and Application Programming Interfaces (APIs).",DE.CM-06.01,DETECT / Continuous Monitoring / Service Provider Monitoring
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,D3.PC.De.E.4: Controls are in place to prevent unauthorized individuals from copying confidential data to removable media.,Evolving,Full,"PR.DS-01.03: The organization defines and implements controls for the protection and use of removable media (e.g., access/use restrictions, encryption, malware scanning, data loss prevention, etc.)",PR.DS-01.03,PROTECT / Data Security / Protection of Data at Rest
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,"D3.PC.De.E.5: Antivirus and anti-malware tools are deployed on end-point devices (e.g., workstations, laptops, and mobile devices).",Evolving,Full Summarily,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PR.PS-01.08,PROTECT / Platform Security / Configuration Management
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,"D3.PC.De.E.5: Antivirus and anti-malware tools are deployed on end-point devices (e.g., workstations, laptops, and mobile devices).",Evolving,Full Summarily,"PR.PS-05.01: The organization has policies, procedures, and tools in place to detect and block malware from infecting networks and systems, including automatically updating malware signatures and behavior profiles on all endpoints.",PR.PS-05.01,PROTECT / Platform Security / Unauthorized Software Installation & Execution
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,"D3.PC.De.E.5: Antivirus and anti-malware tools are deployed on end-point devices (e.g., workstations, laptops, and mobile devices).",Evolving,Full Summarily,"PR.PS-05.02: The organization implements safeguards against unauthorized mobile code (e.g., JavaScript, ActiveX, VBScript, PowerShell, etc.) on mobile, end point, and server systems.",PR.PS-05.02,PROTECT / Platform Security / Unauthorized Software Installation & Execution
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,D3.PC.De.E.6: Mobile devices with access to the institution’s data are centrally managed for antivirus and patch deployment. (*N/A if mobile devices are not used.),Evolving,Full Summarily,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PR.PS-01.08,PROTECT / Platform Security / Configuration Management
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,D3.PC.De.E.6: Mobile devices with access to the institution’s data are centrally managed for antivirus and patch deployment. (*N/A if mobile devices are not used.),Evolving,Full Summarily,"PR.IR-01.08: The organization implements policies, procedures, end-user agreements, and technical controls to address the risks of end-user mobile or personal computing devices accessing the organization's network and resources.",PR.IR-01.08,PROTECT / Technology Infrastructure Resilience / Logical Access Protections
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,D3.PC.De.E.7: The institution wipes data remotely on mobile devices when a device is missing or stolen. (*N/A if mobile devices are not used.),Evolving,Full,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PR.PS-01.08,PROTECT / Platform Security / Configuration Management
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,"D3.PC.De.Int.1: Data loss prevention controls or devices are implemented for inbound and outbound communications (e.g., e-mail, FTP, Telnet, prevention of large file transfers).",Intermediate,Full,PR.DS-01.02: The organization implements data loss identification and prevention tools to monitor and protect against confidential data theft or destruction by an employee or an external actor.,PR.DS-01.02,PROTECT / Data Security / Protection of Data at Rest
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,"D3.PC.De.Int.2: Mobile device management includes integrity scanning (e.g., jailbreak/rooted detection). (*N/A if mobile devices are not used.)",Intermediate,Full,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PR.PS-01.08,PROTECT / Platform Security / Configuration Management
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,D3.PC.De.Int.3: Mobile devices connecting to the corporate network for storing and accessing company information allow for remote software version/patch validation. (*N/A if mobile devices are not used.),Intermediate,Full,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PR.PS-01.08,PROTECT / Platform Security / Configuration Management
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,D3.PC.De.A.1: Employees’ and third parties’ devices (including mobile) without the latest security patches are quarantined and patched before the device is granted access to the network.,Advanced,Full Summarily,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PR.PS-01.08,PROTECT / Platform Security / Configuration Management
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,D3.PC.De.A.1: Employees’ and third parties’ devices (including mobile) without the latest security patches are quarantined and patched before the device is granted access to the network.,Advanced,Full Summarily,"DE.CM-01.04: The organization has policies, procedures, and tools in place to monitor for, detect, and block access from/to devices that are not authorized or do not conform to security policy (e.g., unpatched systems).",DE.CM-01.04,DETECT / Continuous Monitoring / Network Monitoring
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,"D3.PC.De.A.2: Confidential data and applications on mobile devices are only accessible via a secure, isolated sandbox or a secure container.",Advanced,Full,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PR.PS-01.08,PROTECT / Platform Security / Configuration Management
3: Cybersecurity Controls / 1: Preventative Controls / 3: Device / End-Point Security,"D3.PC.De.Inn.1: A centralized end-point management tool provides fully integrated patch, configuration, and vulnerability management, while also being able to detect malware upon arrival to prevent an exploit.",Innovative,Full,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PR.PS-01.08,PROTECT / Platform Security / Configuration Management
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,"D3.PC.Se.B.1: Developers working for the institution follow secure program coding practices, as part of a system development life cycle (SDLC), that meet industry standards.",Baseline,Full,"PR.PS-06.01: The organization implements Secure Systems Development Lifecycle processes for in-house software design, configuration, and development, employing best practices from secure-by-design methodologies (e.g., secure coding, code review, application security testing, etc.) during all phases of both traditional and agile projects.",PR.PS-06.01,PROTECT / Platform Security / Secure Systems Development Practices
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,D3.PC.Se.B.2: The security controls of internally developed software are periodically reviewed and tested. (*N/A if there is no software development.),Baseline,Full,"PR.PS-06.05: A software security testing and validation strategy is developed and implemented in the development lifecycle of all software projects, defining testing requirements and plans; performing/automating testing, vulnerability scanning, and migration activities; and supporting code integrity verification (e.g., using digital signatures).",PR.PS-06.05,PROTECT / Platform Security / Secure Systems Development Practices
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,D3.PC.Se.B.3: The security controls in internally developed software code are independently reviewed before migrating the code to production. (*N/A if there is no software development.),Baseline,Full,"PR.PS-06.05: A software security testing and validation strategy is developed and implemented in the development lifecycle of all software projects, defining testing requirements and plans; performing/automating testing, vulnerability scanning, and migration activities; and supporting code integrity verification (e.g., using digital signatures).",PR.PS-06.05,PROTECT / Platform Security / Secure Systems Development Practices
