,,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,,,,,,,,,
NAIC-IDSML-05,Section 4,Information Security Program,F. Oversight of Third-Party Service Provider Arrangements,"(1) A Licensee shall exercise due diligence in selecting its Third-Party Service Provider; and 
(2) A Licensee shall require a Third-Party Service Provider to implement appropriate administrative, technical, and physical measures to protect and secure the Information Systems and Nonpublic Information that are accessible to, or held by, the Third-Party Service Provider.",Semantic,Superset of,9,10,"EX.DD-03.01: The organization reviews, evaluates, and risk assesses a prospective critical third party's cybersecurity program, including its ability to identify, assess, monitor, and mitigate its cyber risks; the completeness of its policies and procedures; the strength of its technical and administrative controls; and the coverage of its internal and independent control testing programs.",<div>EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment</div>,144.294,EX.DD-03.01,
NAIC-IDSML-05,Section 4,Information Security Program,F. Oversight of Third-Party Service Provider Arrangements,"(1) A Licensee shall exercise due diligence in selecting its Third-Party Service Provider; and 
(2) A Licensee shall require a Third-Party Service Provider to implement appropriate administrative, technical, and physical measures to protect and secure the Information Systems and Nonpublic Information that are accessible to, or held by, the Third-Party Service Provider.",Semantic,Superset of,9,10,"EX.DD-03.02: The organization reviews, evaluates, and risk assesses a prospective critical third party's business continuity program, to include business impact analyses, risk assessments, continuity plans, disaster recovery plans, technology resilience architecture, and response and recovery plans, test plans, and test results.",<div>EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment</div>,144.295,EX.DD-03.02,
NAIC-IDSML-05,Section 4,Information Security Program,F. Oversight of Third-Party Service Provider Arrangements,"(1) A Licensee shall exercise due diligence in selecting its Third-Party Service Provider; and 
(2) A Licensee shall require a Third-Party Service Provider to implement appropriate administrative, technical, and physical measures to protect and secure the Information Systems and Nonpublic Information that are accessible to, or held by, the Third-Party Service Provider.",Semantic,Superset of,9,10,"EX.DD-03.03: The organization reviews, evaluates, and risk assesses a prospective critical third party's incident response program, to include monitoring and alerting capabilities, incident reporting procedures and protocols, and capabilities for event analysis, problem resolution, and forensic investigation.",<div>EXTEND / Procurement Planning and Due Diligence / Technology &amp; Cybersecurity Risk Assessment</div>,144.296,EX.DD-03.03,
NAIC-IDSML-05,Section 4,Information Security Program,F. Oversight of Third-Party Service Provider Arrangements,"(1) A Licensee shall exercise due diligence in selecting its Third-Party Service Provider; and 
(2) A Licensee shall require a Third-Party Service Provider to implement appropriate administrative, technical, and physical measures to protect and secure the Information Systems and Nonpublic Information that are accessible to, or held by, the Third-Party Service Provider.",Semantic,Superset of,9,10,"EX.CN-02.01: The organization's contracts require third-parties to implement minimum technology and cybersecurity management requirements, to maintain those practices for the life of the relationship, and to provide evidence of compliance on an ongoing basis.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,148.302,EX.CN-02.01,
NAIC-IDSML-05,Section 4,Information Security Program,F. Oversight of Third-Party Service Provider Arrangements,"(1) A Licensee shall exercise due diligence in selecting its Third-Party Service Provider; and 
(2) A Licensee shall require a Third-Party Service Provider to implement appropriate administrative, technical, and physical measures to protect and secure the Information Systems and Nonpublic Information that are accessible to, or held by, the Third-Party Service Provider.",Semantic,Superset of,9,10,"EX.CN-02.02: Minimum cybersecurity requirements for third-parties include requirements for incident and vulnerability notification, to include the types of events requiring notification, notification timeframes, and escalation protocols.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,148.303,EX.CN-02.02,
NAIC-IDSML-05,Section 4,Information Security Program,F. Oversight of Third-Party Service Provider Arrangements,"(1) A Licensee shall exercise due diligence in selecting its Third-Party Service Provider; and 
(2) A Licensee shall require a Third-Party Service Provider to implement appropriate administrative, technical, and physical measures to protect and secure the Information Systems and Nonpublic Information that are accessible to, or held by, the Third-Party Service Provider.",Semantic,Superset of,9,10,"EX.CN-02.03: Contracts with suppliers address, as relevant to the product or service, the supplier's obligation to maintain and regularly test a business continuity program and disaster recovery capability the meets the defined resilience requirements of the organization.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,148.304,EX.CN-02.03,
NAIC-IDSML-05,Section 4,Information Security Program,F. Oversight of Third-Party Service Provider Arrangements,"(1) A Licensee shall exercise due diligence in selecting its Third-Party Service Provider; and 
(2) A Licensee shall require a Third-Party Service Provider to implement appropriate administrative, technical, and physical measures to protect and secure the Information Systems and Nonpublic Information that are accessible to, or held by, the Third-Party Service Provider.",Semantic,Superset of,9,10,"EX.CN-02.04: Contracts with suppliers address, as relevant to the product or service, the supplier's obligation to regularly participate in joint and/or bilateral recovery exercises and tests, and to address significant issues identified through recovery testing.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,148.305,EX.CN-02.04,
NAIC-IDSML-05,Section 4,Information Security Program,F. Oversight of Third-Party Service Provider Arrangements,"(1) A Licensee shall exercise due diligence in selecting its Third-Party Service Provider; and 
(2) A Licensee shall require a Third-Party Service Provider to implement appropriate administrative, technical, and physical measures to protect and secure the Information Systems and Nonpublic Information that are accessible to, or held by, the Third-Party Service Provider.",Semantic,Superset of,9,10,"EX.MM-01.01: The organization implements procedures, and allocates sufficient resources with the requisite knowledge and experience, to manage and monitor its third-party relationships to a degree and extent commensurate with the risk each third party poses to the organization and the criticality of the third party's products, services, and/or relationship to the organization.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,150.306,EX.MM-01.01,
NAIC-IDSML-05,Section 4,Information Security Program,F. Oversight of Third-Party Service Provider Arrangements,"(1) A Licensee shall exercise due diligence in selecting its Third-Party Service Provider; and 
(2) A Licensee shall require a Third-Party Service Provider to implement appropriate administrative, technical, and physical measures to protect and secure the Information Systems and Nonpublic Information that are accessible to, or held by, the Third-Party Service Provider.",Semantic,Superset of,9,10,"EX.MM-01.05: The organization regularly assesses a critical third party's program and ability to manage its own suppliers and partners (fourth and nth parties) and the risks those fourth and nth parties may pose to the third party and to the organization (e.g., cybersecurity supply chain risk, concentration risk, reputation risk, foreign-party risk, etc.)",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,150.310,EX.MM-01.05,
NAIC-IDSML-05,Section 4,Information Security Program,F. Oversight of Third-Party Service Provider Arrangements,"(1) A Licensee shall exercise due diligence in selecting its Third-Party Service Provider; and 
(2) A Licensee shall require a Third-Party Service Provider to implement appropriate administrative, technical, and physical measures to protect and secure the Information Systems and Nonpublic Information that are accessible to, or held by, the Third-Party Service Provider.",Semantic,Superset of,9,10,"EX.MM-01.06: The organization regularly reviews the foreign-based operations and activities of a critical third party, or its critical fourth parties, to confirm contract controls are maintained and compliance requirements are managed.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,150.311,EX.MM-01.06,
NAIC-IDSML-05,Section 4,Information Security Program,F. Oversight of Third-Party Service Provider Arrangements,"(1) A Licensee shall exercise due diligence in selecting its Third-Party Service Provider; and 
(2) A Licensee shall require a Third-Party Service Provider to implement appropriate administrative, technical, and physical measures to protect and secure the Information Systems and Nonpublic Information that are accessible to, or held by, the Third-Party Service Provider.",Semantic,Superset of,9,10,EX.MM-02.01: The organization conducts regular third-party reviews for critical vendors to validate that requisite security and contractual controls are in place and continue to be operating as expected.,EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Management,151.312,EX.MM-02.01,
NAIC-IDSML-05,Section 4,Information Security Program,F. Oversight of Third-Party Service Provider Arrangements,"(1) A Licensee shall exercise due diligence in selecting its Third-Party Service Provider; and 
(2) A Licensee shall require a Third-Party Service Provider to implement appropriate administrative, technical, and physical measures to protect and secure the Information Systems and Nonpublic Information that are accessible to, or held by, the Third-Party Service Provider.",Semantic,Superset of,9,10,"EX.MM-02.02: A process is in place to confirm that the organization's critical third-party service providers maintain their business continuity programs, conduct regular resiliency testing, and participate in joint and/or bilateral recovery exercises and tests.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Management,151.313,EX.MM-02.02,
NAIC-IDSML-06,Section 4,Information Security Program,G. Program Adjustments,"The Licensee shall monitor, evaluate and adjust, as appropriate, the Information Security Program consistent with any relevant changes in technology, the sensitivity of its Nonpublic Information, internal or external threats to information, and the Licensee’s own changing business arrangements, such as mergers and acquisitions, alliances and joint ventures, outsourcing arrangements and changes to Information Systems.",Semantic,Intersects with,9,10,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,010.020,GV.RM-02.01,
NAIC-IDSML-06,Section 4,Information Security Program,G. Program Adjustments,"The Licensee shall monitor, evaluate and adjust, as appropriate, the Information Security Program consistent with any relevant changes in technology, the sensitivity of its Nonpublic Information, internal or external threats to information, and the Licensee’s own changing business arrangements, such as mergers and acquisitions, alliances and joint ventures, outsourcing arrangements and changes to Information Systems.",Semantic,Intersects with,9,10,"GV.RM-06.01: Technology and cybersecurity risk management and risk assessment processes and methodologies are documented and regularly reviewed and updated to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.",GOVERN / Risk Management Strategy / Standardized Risk Management Method,014.030,GV.RM-06.01,
NAIC-IDSML-06,Section 4,Information Security Program,G. Program Adjustments,"The Licensee shall monitor, evaluate and adjust, as appropriate, the Information Security Program consistent with any relevant changes in technology, the sensitivity of its Nonpublic Information, internal or external threats to information, and the Licensee’s own changing business arrangements, such as mergers and acquisitions, alliances and joint ventures, outsourcing arrangements and changes to Information Systems.",Semantic,Intersects with,9,10,"GV.RM-07.01: The organization has mechanisms in place to ensure that strategies, initiatives, opportunities, and emerging technologies (e.g., artificial intelligence, quantum computing, etc.) are evaluated both in terms of risks and uncertainties that are potentially detrimental to the organization, as well as potentially advantageous to the organization (i.e., positive risks).",GOVERN / Risk Management Strategy / Strategic Opportunities,015.031,GV.RM-07.01,
NAIC-IDSML-06,Section 4,Information Security Program,G. Program Adjustments,"The Licensee shall monitor, evaluate and adjust, as appropriate, the Information Security Program consistent with any relevant changes in technology, the sensitivity of its Nonpublic Information, internal or external threats to information, and the Licensee’s own changing business arrangements, such as mergers and acquisitions, alliances and joint ventures, outsourcing arrangements and changes to Information Systems.",Semantic,Intersects with,9,10,"GV.RM-08.01: Technology and cybersecurity risk management frameworks are applied to, and are adapted as needed by, the organization's innovations in technology use and adoption of emerging technologies.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,016.032,GV.RM-08.01,
NAIC-IDSML-06,Section 4,Information Security Program,G. Program Adjustments,"The Licensee shall monitor, evaluate and adjust, as appropriate, the Information Security Program consistent with any relevant changes in technology, the sensitivity of its Nonpublic Information, internal or external threats to information, and the Licensee’s own changing business arrangements, such as mergers and acquisitions, alliances and joint ventures, outsourcing arrangements and changes to Information Systems.",Semantic,Intersects with,9,10,"GV.RM-08.05: The technology architecture and associated management processes should be comprehensive (e.g., consider the full life cycle of infrastructure, applications, emerging technologies, and relevant data) and designed to achieve security and resilience commensurate with business needs.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,016.036,GV.RM-08.05,
NAIC-IDSML-06,Section 4,Information Security Program,G. Program Adjustments,"The Licensee shall monitor, evaluate and adjust, as appropriate, the Information Security Program consistent with any relevant changes in technology, the sensitivity of its Nonpublic Information, internal or external threats to information, and the Licensee’s own changing business arrangements, such as mergers and acquisitions, alliances and joint ventures, outsourcing arrangements and changes to Information Systems.",Semantic,Intersects with,9,10,"GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",025.067,GV.PO-02.01,
NAIC-IDSML-06,Section 4,Information Security Program,G. Program Adjustments,"The Licensee shall monitor, evaluate and adjust, as appropriate, the Information Security Program consistent with any relevant changes in technology, the sensitivity of its Nonpublic Information, internal or external threats to information, and the Licensee’s own changing business arrangements, such as mergers and acquisitions, alliances and joint ventures, outsourcing arrangements and changes to Information Systems.",Semantic,Intersects with,9,10,"GV.OV-02.01: The organization regularly assesses its inherent technology and cybersecurity risks and ensures that changes to the business and threat environment lead to updates to the organization's strategies, programs, risk appetite and risk tolerance.",GOVERN / Oversight / Risk Management Strategy Review & Adjustment,028.071,GV.OV-02.01,
NAIC-IDSML-06,Section 4,Information Security Program,G. Program Adjustments,"The Licensee shall monitor, evaluate and adjust, as appropriate, the Information Security Program consistent with any relevant changes in technology, the sensitivity of its Nonpublic Information, internal or external threats to information, and the Licensee’s own changing business arrangements, such as mergers and acquisitions, alliances and joint ventures, outsourcing arrangements and changes to Information Systems.",Semantic,Intersects with,9,10,"GV.SC-01.01: The organization maintains a third-party risk management strategy and program to identify and manage the risks associated with third parties throughout their lifecycles in a timely manner, including in support of sector-critical systems and operations, to ensure alignment within risk appetite.",GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,031.075,GV.SC-01.01,
NAIC-IDSML-06,Section 4,Information Security Program,G. Program Adjustments,"The Licensee shall monitor, evaluate and adjust, as appropriate, the Information Security Program consistent with any relevant changes in technology, the sensitivity of its Nonpublic Information, internal or external threats to information, and the Licensee’s own changing business arrangements, such as mergers and acquisitions, alliances and joint ventures, outsourcing arrangements and changes to Information Systems.",Semantic,Intersects with,9,10,"GV.SC-09.01: Consideration is specifically given to the implications of organizational third-party dependence, requirements, contracts, and interactions in the design, operation, monitoring, and improvement of policies, procedures, and controls to ensure the fulfillment of business requirements within risk appetite.",GOVERN / Supply Chain Risk Management / Supply Chain Security Practice Integration,036.081,GV.SC-09.01,
NAIC-IDSML-06,Section 4,Information Security Program,G. Program Adjustments,"The Licensee shall monitor, evaluate and adjust, as appropriate, the Information Security Program consistent with any relevant changes in technology, the sensitivity of its Nonpublic Information, internal or external threats to information, and the Licensee’s own changing business arrangements, such as mergers and acquisitions, alliances and joint ventures, outsourcing arrangements and changes to Information Systems.",Semantic,Intersects with,9,10,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,067.161,ID.IM-04.08,
NAIC-IDSML-07,Section 4,Information Security Program,H. Incident Response Plan,"1) As part of its Information Security Program, each Licensee shall establish a written incident response plan designed to promptly respond to, and recover from, any Cybersecurity Event that compromises the confidentiality, integrity, or availability of Nonpublic Information in its possession, the Licensee’s Information Systems, or the continuing functionality of any aspect of the Licensee’s business or operations. 
(2) Such incident response plan shall address the following areas:
(a) The internal process for responding to a Cybersecurity Event; 
(b) The goals of the incident response plan; 
(c) The definition of clear roles, responsibilities and levels of decision-making authority;
(d) External and internal communications and information sharing;
(e) Identification of requirements for the remediation of any identified weaknesses in Information Systems and associated controls;
(f) Documentation and reporting regarding Cybersecurity Events and related incident response activities; and
(g) The evaluation and revision as necessary of the incident response plan following a Cybersecurity Event.",Semantic,Intersects with,9,10,"GV.RM-09.01: The organization has an enterprise-wide resilience strategy and program, including architecture, cyber resilience, business continuity, disaster recovery, and incident response, which support its mission, stakeholder obligations, critical infrastructure role, and risk appetite.",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,017.039,GV.RM-09.01,
NAIC-IDSML-07,Section 4,Information Security Program,H. Incident Response Plan,"1) As part of its Information Security Program, each Licensee shall establish a written incident response plan designed to promptly respond to, and recover from, any Cybersecurity Event that compromises the confidentiality, integrity, or availability of Nonpublic Information in its possession, the Licensee’s Information Systems, or the continuing functionality of any aspect of the Licensee’s business or operations. 
(2) Such incident response plan shall address the following areas:
(a) The internal process for responding to a Cybersecurity Event; 
(b) The goals of the incident response plan; 
(c) The definition of clear roles, responsibilities and levels of decision-making authority;
(d) External and internal communications and information sharing;
(e) Identification of requirements for the remediation of any identified weaknesses in Information Systems and associated controls;
(f) Documentation and reporting regarding Cybersecurity Events and related incident response activities; and
(g) The evaluation and revision as necessary of the incident response plan following a Cybersecurity Event.",Semantic,Intersects with,9,10,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,017.040,GV.RM-09.02,
NAIC-IDSML-07,Section 4,Information Security Program,H. Incident Response Plan,"1) As part of its Information Security Program, each Licensee shall establish a written incident response plan designed to promptly respond to, and recover from, any Cybersecurity Event that compromises the confidentiality, integrity, or availability of Nonpublic Information in its possession, the Licensee’s Information Systems, or the continuing functionality of any aspect of the Licensee’s business or operations. 
(2) Such incident response plan shall address the following areas:
(a) The internal process for responding to a Cybersecurity Event; 
(b) The goals of the incident response plan; 
(c) The definition of clear roles, responsibilities and levels of decision-making authority;
(d) External and internal communications and information sharing;
(e) Identification of requirements for the remediation of any identified weaknesses in Information Systems and associated controls;
(f) Documentation and reporting regarding Cybersecurity Events and related incident response activities; and
(g) The evaluation and revision as necessary of the incident response plan following a Cybersecurity Event.",Semantic,Intersects with,9,10,"GV.PO-01.07: The organization maintains documented business continuity and resilience program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",024.065,GV.PO-01.07,
NAIC-IDSML-07,Section 4,Information Security Program,H. Incident Response Plan,"1) As part of its Information Security Program, each Licensee shall establish a written incident response plan designed to promptly respond to, and recover from, any Cybersecurity Event that compromises the confidentiality, integrity, or availability of Nonpublic Information in its possession, the Licensee’s Information Systems, or the continuing functionality of any aspect of the Licensee’s business or operations. 
(2) Such incident response plan shall address the following areas:
(a) The internal process for responding to a Cybersecurity Event; 
(b) The goals of the incident response plan; 
(c) The definition of clear roles, responsibilities and levels of decision-making authority;
(d) External and internal communications and information sharing;
(e) Identification of requirements for the remediation of any identified weaknesses in Information Systems and associated controls;
(f) Documentation and reporting regarding Cybersecurity Events and related incident response activities; and
(g) The evaluation and revision as necessary of the incident response plan following a Cybersecurity Event.",Semantic,Intersects with,8,10,"ID.IM-02.03: The organization tests and validates the effectiveness of the incident detection, reporting, and communication processes and protocols with internal and external stakeholders.",IDENTIFY / Improvement / Tests & Exercises,065.145,ID.IM-02.03,
NAIC-IDSML-07,Section 4,Information Security Program,H. Incident Response Plan,"1) As part of its Information Security Program, each Licensee shall establish a written incident response plan designed to promptly respond to, and recover from, any Cybersecurity Event that compromises the confidentiality, integrity, or availability of Nonpublic Information in its possession, the Licensee’s Information Systems, or the continuing functionality of any aspect of the Licensee’s business or operations. 
(2) Such incident response plan shall address the following areas:
(a) The internal process for responding to a Cybersecurity Event; 
(b) The goals of the incident response plan; 
(c) The definition of clear roles, responsibilities and levels of decision-making authority;
(d) External and internal communications and information sharing;
(e) Identification of requirements for the remediation of any identified weaknesses in Information Systems and associated controls;
(f) Documentation and reporting regarding Cybersecurity Events and related incident response activities; and
(g) The evaluation and revision as necessary of the incident response plan following a Cybersecurity Event.",Semantic,Intersects with,8,10,"ID.IM-02.04: The organization's testing program validates the effectiveness of its resilience strategy and response, disaster recovery, and resumption plans on a regular basis or upon major changes to business or system functions, and includes external stakeholders as required.",IDENTIFY / Improvement / Tests & Exercises,065.146,ID.IM-02.04,
NAIC-IDSML-07,Section 4,Information Security Program,H. Incident Response Plan,"1) As part of its Information Security Program, each Licensee shall establish a written incident response plan designed to promptly respond to, and recover from, any Cybersecurity Event that compromises the confidentiality, integrity, or availability of Nonpublic Information in its possession, the Licensee’s Information Systems, or the continuing functionality of any aspect of the Licensee’s business or operations. 
(2) Such incident response plan shall address the following areas:
(a) The internal process for responding to a Cybersecurity Event; 
(b) The goals of the incident response plan; 
(c) The definition of clear roles, responsibilities and levels of decision-making authority;
(d) External and internal communications and information sharing;
(e) Identification of requirements for the remediation of any identified weaknesses in Information Systems and associated controls;
(f) Documentation and reporting regarding Cybersecurity Events and related incident response activities; and
(g) The evaluation and revision as necessary of the incident response plan following a Cybersecurity Event.",Semantic,Intersects with,9,10,"ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,067.154,ID.IM-04.01,
NAIC-IDSML-07,Section 4,Information Security Program,H. Incident Response Plan,"1) As part of its Information Security Program, each Licensee shall establish a written incident response plan designed to promptly respond to, and recover from, any Cybersecurity Event that compromises the confidentiality, integrity, or availability of Nonpublic Information in its possession, the Licensee’s Information Systems, or the continuing functionality of any aspect of the Licensee’s business or operations. 
(2) Such incident response plan shall address the following areas:
(a) The internal process for responding to a Cybersecurity Event; 
(b) The goals of the incident response plan; 
(c) The definition of clear roles, responsibilities and levels of decision-making authority;
(d) External and internal communications and information sharing;
(e) Identification of requirements for the remediation of any identified weaknesses in Information Systems and associated controls;
(f) Documentation and reporting regarding Cybersecurity Events and related incident response activities; and
(g) The evaluation and revision as necessary of the incident response plan following a Cybersecurity Event.",Semantic,Intersects with,9,10,"ID.IM-04.02: The organization's incident response and business continuity plans contain clearly defined roles, responsibilities, and levels of decision-making authority, and include all needed areas of participation and expertise across the organization and key third-parties.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,067.155,ID.IM-04.02,
NAIC-IDSML-07,Section 4,Information Security Program,H. Incident Response Plan,"1) As part of its Information Security Program, each Licensee shall establish a written incident response plan designed to promptly respond to, and recover from, any Cybersecurity Event that compromises the confidentiality, integrity, or availability of Nonpublic Information in its possession, the Licensee’s Information Systems, or the continuing functionality of any aspect of the Licensee’s business or operations. 
(2) Such incident response plan shall address the following areas:
(a) The internal process for responding to a Cybersecurity Event; 
(b) The goals of the incident response plan; 
(c) The definition of clear roles, responsibilities and levels of decision-making authority;
(d) External and internal communications and information sharing;
(e) Identification of requirements for the remediation of any identified weaknesses in Information Systems and associated controls;
(f) Documentation and reporting regarding Cybersecurity Events and related incident response activities; and
(g) The evaluation and revision as necessary of the incident response plan following a Cybersecurity Event.",Semantic,Superset of,9,10,"ID.IM-04.03: Recovery plans include service resumption steps for all operating environments, including traditional, alternate recovery, and highly available (e.g., cloud) infrastructures.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,067.156,ID.IM-04.03,
NAIC-IDSML-07,Section 4,Information Security Program,H. Incident Response Plan,"1) As part of its Information Security Program, each Licensee shall establish a written incident response plan designed to promptly respond to, and recover from, any Cybersecurity Event that compromises the confidentiality, integrity, or availability of Nonpublic Information in its possession, the Licensee’s Information Systems, or the continuing functionality of any aspect of the Licensee’s business or operations. 
(2) Such incident response plan shall address the following areas:
(a) The internal process for responding to a Cybersecurity Event; 
(b) The goals of the incident response plan; 
(c) The definition of clear roles, responsibilities and levels of decision-making authority;
(d) External and internal communications and information sharing;
(e) Identification of requirements for the remediation of any identified weaknesses in Information Systems and associated controls;
(f) Documentation and reporting regarding Cybersecurity Events and related incident response activities; and
(g) The evaluation and revision as necessary of the incident response plan following a Cybersecurity Event.",Semantic,Intersects with,9,10,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,067.161,ID.IM-04.08,
NAIC-IDSML-07,Section 4,Information Security Program,H. Incident Response Plan,"1) As part of its Information Security Program, each Licensee shall establish a written incident response plan designed to promptly respond to, and recover from, any Cybersecurity Event that compromises the confidentiality, integrity, or availability of Nonpublic Information in its possession, the Licensee’s Information Systems, or the continuing functionality of any aspect of the Licensee’s business or operations. 
(2) Such incident response plan shall address the following areas:
(a) The internal process for responding to a Cybersecurity Event; 
(b) The goals of the incident response plan; 
(c) The definition of clear roles, responsibilities and levels of decision-making authority;
(d) External and internal communications and information sharing;
(e) Identification of requirements for the remediation of any identified weaknesses in Information Systems and associated controls;
(f) Documentation and reporting regarding Cybersecurity Events and related incident response activities; and
(g) The evaluation and revision as necessary of the incident response plan following a Cybersecurity Event.",Semantic,Intersects with,9,10,PR.AT-02.03: All personnel (employee and third party) are made aware of and are trained for their role and operational steps in response and recovery plans.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,078.181,PR.AT-02.03,
NAIC-IDSML-07,Section 4,Information Security Program,H. Incident Response Plan,"1) As part of its Information Security Program, each Licensee shall establish a written incident response plan designed to promptly respond to, and recover from, any Cybersecurity Event that compromises the confidentiality, integrity, or availability of Nonpublic Information in its possession, the Licensee’s Information Systems, or the continuing functionality of any aspect of the Licensee’s business or operations. 
(2) Such incident response plan shall address the following areas:
(a) The internal process for responding to a Cybersecurity Event; 
(b) The goals of the incident response plan; 
(c) The definition of clear roles, responsibilities and levels of decision-making authority;
(d) External and internal communications and information sharing;
(e) Identification of requirements for the remediation of any identified weaknesses in Information Systems and associated controls;
(f) Documentation and reporting regarding Cybersecurity Events and related incident response activities; and
(g) The evaluation and revision as necessary of the incident response plan following a Cybersecurity Event.",Semantic,Superset of,7,10,"RS.MA-01.01: The organization's response plans are in place and executed during or after an incident, to include coordination with relevant third parties and engagement of third-party incident support services.",RESPOND / Incident Management / Response Plan Execution,113.260,RS.MA-01.01,
NAIC-IDSML-07,Section 4,Information Security Program,H. Incident Response Plan,"1) As part of its Information Security Program, each Licensee shall establish a written incident response plan designed to promptly respond to, and recover from, any Cybersecurity Event that compromises the confidentiality, integrity, or availability of Nonpublic Information in its possession, the Licensee’s Information Systems, or the continuing functionality of any aspect of the Licensee’s business or operations. 
(2) Such incident response plan shall address the following areas:
(a) The internal process for responding to a Cybersecurity Event; 
(b) The goals of the incident response plan; 
(c) The definition of clear roles, responsibilities and levels of decision-making authority;
(d) External and internal communications and information sharing;
(e) Identification of requirements for the remediation of any identified weaknesses in Information Systems and associated controls;
(f) Documentation and reporting regarding Cybersecurity Events and related incident response activities; and
(g) The evaluation and revision as necessary of the incident response plan following a Cybersecurity Event.",Semantic,Superset of,8,10,RS.MA-03.01: The organization categorizes and prioritizes cybersecurity incident response consistent with response plans and criticality of systems and services to the enterprise.,RESPOND / Incident Management / Incident Categorization & Prioritization,115.262,RS.MA-03.01,
