NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,
"
RESPOND","Mitigation (RS.MI): Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.",RS.MI-03: Newly identified vulnerabilities are mitigated or documented as accepted risks,"Vulnerability management minimizes the probability of successful ransomware attacks. If vulnerabilities cannot be patched or mitigated, documenting this risk at least allows for its inclusion in future decision making and provides transparency for stakeholders that might be impacted by ransomware events.","ID.RA-06.06: The organization follows documented procedures, consistent with established risk response processes, for mitigating or accepting the risk of vulnerabilities or weaknesses identified in exercises and testing or when responding to incidents.",IDENTIFY / Risk Assessment / Risk Response Determination
"
RESPOND",Improvements (RS.IM): Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.,RS.IM-01: Response plans incorporate lessons learned,This minimizes the probability of future successful ransomware attacks and can help to restore confidence among stakeholders.,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operatons
"
RESPOND",Improvements (RS.IM): Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.,RS.IM-02: Response strategies are updated,This minimizes the probability of future successful ransomware attacks and can help to restore confidence among stakeholders.,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operatons
"
RECOVER",Recovery Planning (RC.RP): Recovery processes and procedures are executed and maintained to ensure restoration of systems or assets affected by cybersecurity incidents.,RC.RP-01: Recovery plan is executed during or after a cybersecurity incident,Immediately initiating the recovery plan after the root cause has been identified can cut losses.,"RC.RP-01.01: The organization executes its recovery plans, including incident recovery, disaster recovery, and business continuity plans, during or after an incident to resume operations.",RECOVER / Incident Recovery Plan Execution / Recovery Plan Execution
"
RECOVER",Improvements (RC.IM): Recovery planning and processes are improved by incorporating lessons learned into future activities.,RC.IM-01: Recovery plans incorporate lessons learned,This minimizes the probability of future successful ransomware attacks and can help to restore confidence among stakeholders.,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operatons
"
RECOVER",Improvements (RC.IM): Recovery planning and processes are improved by incorporating lessons learned into future activities.,RC.IM-02: Recovery strategies are updated,This is needed to maintain the effectiveness of contingency planning for future ransomware attacks.,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operatons
"
RECOVER","Communications (RC.CO): Restoration activities are coordinated with internal and external parties (e.g., coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",RC.CO-01: Public relations are managed,This minimizes the business impact by being open and transparent and restores confidence among stakeholders.,"RC.CO-04.01: Pre-established communication plans and message templates, and authorized protocols, contacts, media, and communications, are used to notify and inform the public and key external stakeholders about an incident.",RECOVER / Incident Recovery Communication / Public Information Sharing
"
RECOVER","Communications (RC.CO): Restoration activities are coordinated with internal and external parties (e.g., coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",RC.CO-02: Reputation is repaired after an incident,Reputational repair minimizes the business impact and restores confidence among stakeholders.,"RC.CO-04.01: Pre-established communication plans and message templates, and authorized protocols, contacts, media, and communications, are used to notify and inform the public and key external stakeholders about an incident.",RECOVER / Incident Recovery Communication / Public Information Sharing
"
RECOVER","Communications (RC.CO): Restoration activities are coordinated with internal and external parties (e.g., coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",RC.CO-03: Recovery activities are communicated to internal and external stakeholders as well as and executive and management teams,Communication about recovery activities helps to minimize the business impact and restore confidence among stakeholders.,"RC.CO-03.01: The organization timely involves and communicates the recovery activities, procedures, cyber risk management issues to the governing body (e.g., the Board or one of its committees), senior management, incident management support teams, and relevant internal stakeholders.",RECOVER / Incident Recovery Communication / Recovery Activity Communication
"
RECOVER","Communications (RC.CO): Restoration activities are coordinated with internal and external parties (e.g., coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",RC.CO-03: Recovery activities are communicated to internal and external stakeholders as well as and executive and management teams,Communication about recovery activities helps to minimize the business impact and restore confidence among stakeholders.,"RC.CO-03.02: The organization promptly communicates the status of recovery activities to regulatory authorities and relevant external stakeholders, as required or appropriate.",RECOVER / Incident Recovery Communication / Recovery Activity Communication
