,,,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,,
OSFI CSSA-44,Defend,Vulnerability Management,44,"	The FRFI prioritizes identified vulnerabilities for resolution, based on the risk and potential impact represented.",Functional ,Superset of,9,10,ID.RA-07.05: The organization establishes and maintains an exception management process for identified vulnerabilities that cannot be mitigated within target timeframes.,IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.05
OSFI CSSA-45,Defend,Vulnerability Management,45,"The FRFI has an exception/exemption management process that documents and requires appropriate management approvals, for delays or exceptions to vulnerability remediation (e.g., through application of vendor supplied patches).",Functional ,Subset of ,9,10,"ID.RA-07.04: Policy exceptions, risk mitigation plans, and risk acceptances resulting from assessments and evaluations, such as testing, exercises, audits, etc., are formally managed, approved, escalated to defined levels of management, and tracked to closure.",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.04
OSFI CSSA-45,Defend,Vulnerability Management,45,"The FRFI has an exception/exemption management process that documents and requires appropriate management approvals, for delays or exceptions to vulnerability remediation (e.g., through application of vendor supplied patches).",Functional ,Equal,10,10,ID.RA-07.05: The organization establishes and maintains an exception management process for identified vulnerabilities that cannot be mitigated within target timeframes.,IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.05
OSFI CSSA-46,Defend,Vulnerability Management,46,"The FRFI verifies and tests vulnerability patches, prior to general deployment within the operational environment.",Functional ,Intersects with,9,10,"PR.PS-02.01: The organization defines and implements controls to identify patches to technology assets, assess patch criticality and risk, test patches, and apply patches within risk/criticality-based target time frames.",PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.01
OSFI CSSA-46,Defend,Vulnerability Management,46,"The FRFI verifies and tests vulnerability patches, prior to general deployment within the operational environment.",Functional ,Intersects with,8,10,"PR.PS-06.06: The system development lifecycle remediates known critical vulnerabilities, and critical vulnerabilities discovered during testing, prior to production deployment.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.06
OSFI CSSA-47,Defend,Vulnerability Management,47,"	The FRFI identifies contingency options for reversing vulnerability resolution measures (e.g., through roll-back of patches), prior to general deployment.",Functional ,Intersects with,8,9,"ID.RA-07.01: The organization defines and implements change management standards and procedures, to include emergency change procedures, that explicitly address risk identified both prior to and during a change, any new risk created post-change, as well as the reviewing and approving authorities (e.g., change advisory boards).",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.01
OSFI CSSA-47,Defend,Vulnerability Management,47,"	The FRFI identifies contingency options for reversing vulnerability resolution measures (e.g., through roll-back of patches), prior to general deployment.",Functional ,Intersects with,8,9,"ID.RA-07.02: Risk-based criteria are used to categorize each system change, to include emergency changes, to determine the necessary change process standards to apply for change planning, rollback planning, pre-change testing, change access control, post-change verification, and change review and approval.",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.02
OSFI CSSA-47,Defend,Vulnerability Management,47,"	The FRFI identifies contingency options for reversing vulnerability resolution measures (e.g., through roll-back of patches), prior to general deployment.",Functional ,Subset of ,9,9,"PR.PS-02.01: The organization defines and implements controls to identify patches to technology assets, assess patch criticality and risk, test patches, and apply patches within risk/criticality-based target time frames.",PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.01
OSFI CSSA-48,Defend,Vulnerability Management,48,The FRFI has established timelines for applying patches based on risk.,Functional ,Subset of ,10,10,"PR.PS-02.01: The organization defines and implements controls to identify patches to technology assets, assess patch criticality and risk, test patches, and apply patches within risk/criticality-based target time frames.",PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.01
OSFI CSSA-49,Defend,Change and Configuration Management,49,"The FRFI has created, documented and implemented standardized, secure configurations for all hardware and software (e.g., Operating Systems, VMs, desktop image).",Functional ,Equal,10,10,"PR.PS-01.01: The organization establishes and maintains standard system security configuration baselines, informed by industry standards and hardening guidelines, to facilitate the consistent application of security settings, configurations, and versions.",PROTECT / Platform Security / Configuration Management,PR.PS-01.01
OSFI CSSA-49,Defend,Change and Configuration Management,49,"The FRFI has created, documented and implemented standardized, secure configurations for all hardware and software (e.g., Operating Systems, VMs, desktop image).",Functional ,Superset of,8,10,PR.PS-01.02: The organization's systems are configured to provide only essential capabilities to implement the principle of least functionality.,PROTECT / Platform Security / Configuration Management,PR.PS-01.02
OSFI CSSA-49,Defend,Change and Configuration Management,49,"The FRFI has created, documented and implemented standardized, secure configurations for all hardware and software (e.g., Operating Systems, VMs, desktop image).",Functional ,Intersects with,9,10,PR.PS-01.03: The organization employs detection measures and performs regular enforcement checks to ensure that non-compliance with baseline security standards is promptly identified and rectified.,PROTECT / Platform Security / Configuration Management,PR.PS-01.03
OSFI CSSA-49,Defend,Change and Configuration Management,49,"The FRFI has created, documented and implemented standardized, secure configurations for all hardware and software (e.g., Operating Systems, VMs, desktop image).",Functional ,Intersects with,7,10,"DE.CM-09.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block the use of unsupported or unauthorized software, hardware, or configuration changes.","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",DE.CM-09.03
OSFI CSSA-50,Defend,Change and Configuration Management,50,The FRFI hardens all critical systems and networks.,Functional ,Superset of,9,10,"PR.PS-01.01: The organization establishes and maintains standard system security configuration baselines, informed by industry standards and hardening guidelines, to facilitate the consistent application of security settings, configurations, and versions.",PROTECT / Platform Security / Configuration Management,PR.PS-01.01
OSFI CSSA-50,Defend,Change and Configuration Management,50,The FRFI hardens all critical systems and networks.,Functional ,Superset of,9,10,PR.PS-01.02: The organization's systems are configured to provide only essential capabilities to implement the principle of least functionality.,PROTECT / Platform Security / Configuration Management,PR.PS-01.02
OSFI CSSA-50,Defend,Change and Configuration Management,50,The FRFI hardens all critical systems and networks.,Functional ,Superset of,9,10,PR.PS-01.03: The organization employs detection measures and performs regular enforcement checks to ensure that non-compliance with baseline security standards is promptly identified and rectified.,PROTECT / Platform Security / Configuration Management,PR.PS-01.03
OSFI CSSA-50,Defend,Change and Configuration Management,50,The FRFI hardens all critical systems and networks.,Functional ,Superset of,9,10,"PR.IR-01.02: Network device configurations (e.g., firewall rules, ports, and protocols) are documented, reviewed and updated regularly and upon change to ensure alignment with network access, segmentation, traversal, and deny-all default requirements.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.02
OSFI CSSA-51,Defend,Change and Configuration Management,51,The FRFI enforces security policies through the use of automated tools to identify and block use of unauthorized software and hardware across all of its systems.,Functional ,Equal,10,10,"DE.CM-09.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block the use of unsupported or unauthorized software, hardware, or configuration changes.","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",DE.CM-09.03
OSFI CSSA-52,Defend,Change and Configuration Management,52,"	The FRFI has documented and implemented a Change Management process, to formally identify, assess, approve and document configuration changes.",Functional ,Equal,10,10,"ID.RA-07.01: The organization defines and implements change management standards and procedures, to include emergency change procedures, that explicitly address risk identified both prior to and during a change, any new risk created post-change, as well as the reviewing and approving authorities (e.g., change advisory boards).",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.01
OSFI CSSA-52,Defend,Change and Configuration Management,52,"	The FRFI has documented and implemented a Change Management process, to formally identify, assess, approve and document configuration changes.",Functional ,Superset of,9,10,"ID.RA-07.02: Risk-based criteria are used to categorize each system change, to include emergency changes, to determine the necessary change process standards to apply for change planning, rollback planning, pre-change testing, change access control, post-change verification, and change review and approval.",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.02
OSFI CSSA-52,Defend,Change and Configuration Management,52,"	The FRFI has documented and implemented a Change Management process, to formally identify, assess, approve and document configuration changes.",Functional ,Intersects with,8,10,"ID.RA-07.03: Technology projects and system change processes ensure that requisite changes in security posture, data classification and flows, architecture, support documentation, business processes, and business resilience plans are addressed.",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.03
OSFI CSSA-53,Detect,Monitoring and Logging,53,"The FRFI monitors all networks, sub-networks, and interfaces to identify information security events such as unauthorized connection attempts, unusual or suspicious traffic patterns or use of unauthorized ports and protocols.",Functional ,Intersects with,9,10,PR.IR-04.01: Baseline measures of network and system utilization and transaction activity are captured to support capacity planning and anomalous activity detection.,PROTECT / Technology Infrastructure Resilience / Capacity Management,PR.IR-04.01
OSFI CSSA-53,Detect,Monitoring and Logging,53,"The FRFI monitors all networks, sub-networks, and interfaces to identify information security events such as unauthorized connection attempts, unusual or suspicious traffic patterns or use of unauthorized ports and protocols.",Functional ,Superset of,9,10,DE.CM-01.01:  The organization deploys intrusion detection and intrusion prevention capabilities to detect and prevent a potential network intrusion in its early stages for timely containment and recovery.,DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.01
OSFI CSSA-53,Detect,Monitoring and Logging,53,"The FRFI monitors all networks, sub-networks, and interfaces to identify information security events such as unauthorized connection attempts, unusual or suspicious traffic patterns or use of unauthorized ports and protocols.",Functional ,Intersects with,9,10,"DE.CM-01.02: The organization implements mechanisms, such as alerting and filtering of sudden high volumes and suspicious incoming traffic, to detect and mitigate Denial of Service, ""bot"", and credential stuffing attacks.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.02
OSFI CSSA-53,Detect,Monitoring and Logging,53,"The FRFI monitors all networks, sub-networks, and interfaces to identify information security events such as unauthorized connection attempts, unusual or suspicious traffic patterns or use of unauthorized ports and protocols.",Functional ,Superset of,9,10,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.03
OSFI CSSA-53,Detect,Monitoring and Logging,53,"The FRFI monitors all networks, sub-networks, and interfaces to identify information security events such as unauthorized connection attempts, unusual or suspicious traffic patterns or use of unauthorized ports and protocols.",Functional ,Superset of,9,10,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.02
OSFI CSSA-53,Detect,Monitoring and Logging,53,"The FRFI monitors all networks, sub-networks, and interfaces to identify information security events such as unauthorized connection attempts, unusual or suspicious traffic patterns or use of unauthorized ports and protocols.",Functional ,Intersects with,9,10,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.03
OSFI CSSA-53,Detect,Monitoring and Logging,53,"The FRFI monitors all networks, sub-networks, and interfaces to identify information security events such as unauthorized connection attempts, unusual or suspicious traffic patterns or use of unauthorized ports and protocols.",Functional ,Intersects with,9,10,"DE.CM-06.01: The organization reviews, documents, authorizes, and monitors all third-party connections, data transfer mechanisms, and Application Programming Interfaces (APIs).",DETECT / Continuous Monitoring / Service Provider Monitoring,DE.CM-06.01
OSFI CSSA-54,Detect,Monitoring and Logging,54,The FRFI has established requirements for log collection and retention across all IT assets.,Functional ,Equal,10,10,"PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.01
OSFI CSSA-54,Detect,Monitoring and Logging,54,The FRFI has established requirements for log collection and retention across all IT assets.,Functional ,Superset of,9,10,"PR.PS-04.02: The organization defines the scope and coverage of audit/log records to be created and monitored (i.e., internal and external environments, devices, and applications/services/software to be monitored) and has controls in place to ensure that the intended scope is fully covered and that no logging failures are inhibiting the collection of required logs.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.02
OSFI CSSA-54,Detect,Monitoring and Logging,54,The FRFI has established requirements for log collection and retention across all IT assets.,Functional ,Intersects with,8,10,"PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.03
OSFI CSSA-54,Detect,Monitoring and Logging,54,The FRFI has established requirements for log collection and retention across all IT assets.,Functional ,Intersects with,7,10,"DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation,DE.AE-03.01
OSFI CSSA-55,Detect,Monitoring and Logging,55,"	The FRFI uses automated tools (e.g., a SIEM or Log Analytics Tool) to collect, aggregate and analyze event data in real time or near to real time (e.g., anomalous activity), and alerts personnel according to established use cases and rules.",Functional ,Subset of ,9,10,"DE.AE-02.01: The organization performs timely collection of event data, as well as advanced and automated analysis (including the use of security tools such as antivirus and IDS/IPS) on the detected events to:
(1) Assess and understand the nature, scope and method of the attack;
(2) Predict and block a similar future attack; and
(3) Report timely risk metrics.",DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis,DE.AE-02.01
OSFI CSSA-55,Detect,Monitoring and Logging,55,"	The FRFI uses automated tools (e.g., a SIEM or Log Analytics Tool) to collect, aggregate and analyze event data in real time or near to real time (e.g., anomalous activity), and alerts personnel according to established use cases and rules.",Functional ,Intersects with,8,10,"DE.AE-02.02: The organization establishes, documents, and regularly reviews event alert parameters and thresholds, as well as rule-based triggers to support automated responses, when known attack patterns, signatures or behaviors are detected.",DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis,DE.AE-02.02
OSFI CSSA-55,Detect,Monitoring and Logging,55,"	The FRFI uses automated tools (e.g., a SIEM or Log Analytics Tool) to collect, aggregate and analyze event data in real time or near to real time (e.g., anomalous activity), and alerts personnel according to established use cases and rules.",Functional ,Intersects with,9,10,"DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation,DE.AE-03.01
OSFI CSSA-55,Detect,Monitoring and Logging,55,"	The FRFI uses automated tools (e.g., a SIEM or Log Analytics Tool) to collect, aggregate and analyze event data in real time or near to real time (e.g., anomalous activity), and alerts personnel according to established use cases and rules.",Functional ,Intersects with,9,10,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DETECT / Adverse Event Analysis / Event Information Correlation,DE.AE-03.02
OSFI CSSA-55,Detect,Monitoring and Logging,55,"	The FRFI uses automated tools (e.g., a SIEM or Log Analytics Tool) to collect, aggregate and analyze event data in real time or near to real time (e.g., anomalous activity), and alerts personnel according to established use cases and rules.",Functional ,Equal,8,10,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DETECT / Adverse Event Analysis / Event Information Sharing,DE.AE-06.01
OSFI CSSA-56,Detect,Monitoring and Logging,56,"The FRFI's network monitoring and management processes are integrated with Incident Response processes, for rapid and formal escalations, communications and resolution of priority events.",Functional ,Intersects with,8,10,DE.CM-01.01:  The organization deploys intrusion detection and intrusion prevention capabilities to detect and prevent a potential network intrusion in its early stages for timely containment and recovery.,DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.01
OSFI CSSA-56,Detect,Monitoring and Logging,56,"The FRFI's network monitoring and management processes are integrated with Incident Response processes, for rapid and formal escalations, communications and resolution of priority events.",Functional ,Intersects with,7,10,"DE.CM-01.06: The organization employs deception techniques and technologies (e.g., honeypots) to detect and prevent a potential intrusion in its early stages to support timely containment and recovery.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.06
OSFI CSSA-56,Detect,Monitoring and Logging,56,"The FRFI's network monitoring and management processes are integrated with Incident Response processes, for rapid and formal escalations, communications and resolution of priority events.",Functional ,Superset of,9,10,"DE.CM-02.01: The organization's controls include monitoring and detection of anomalous activities and potential intrusion events across the organization's physical environment and infrastructure, including the detection of environmental threats (fire, water, service outages, etc.) and unauthorized physical access to high-risk system components and locations.",DETECT / Continuous Monitoring / Physical Environment Monitoring,DE.CM-02.01
OSFI CSSA-56,Detect,Monitoring and Logging,56,"The FRFI's network monitoring and management processes are integrated with Incident Response processes, for rapid and formal escalations, communications and resolution of priority events.",Functional ,Superset of,9,10,"DE.AE-02.01: The organization performs timely collection of event data, as well as advanced and automated analysis (including the use of security tools such as antivirus and IDS/IPS) on the detected events to:
(1) Assess and understand the nature, scope and method of the attack;
(2) Predict and block a similar future attack; and
(3) Report timely risk metrics.",DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis,DE.AE-02.01
OSFI CSSA-56,Detect,Monitoring and Logging,56,"The FRFI's network monitoring and management processes are integrated with Incident Response processes, for rapid and formal escalations, communications and resolution of priority events.",Functional ,Intersects with,8,10,"DE.AE-02.02: The organization establishes, documents, and regularly reviews event alert parameters and thresholds, as well as rule-based triggers to support automated responses, when known attack patterns, signatures or behaviors are detected.",DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis,DE.AE-02.02
OSFI CSSA-56,Detect,Monitoring and Logging,56,"The FRFI's network monitoring and management processes are integrated with Incident Response processes, for rapid and formal escalations, communications and resolution of priority events.",Functional ,Superset of,9,10,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DETECT / Adverse Event Analysis / Event Information Sharing,DE.AE-06.01
OSFI CSSA-56,Detect,Monitoring and Logging,56,"The FRFI's network monitoring and management processes are integrated with Incident Response processes, for rapid and formal escalations, communications and resolution of priority events.",Functional ,Intersects with,8,10,"DE.AE-07.01: The organization implements measures for monitoring external sources (e.g., social media, the dark web, etc.) to integrate with other intelligence information to better detect and evaluate potential threats and compromises.",DETECT / Adverse Event Analysis / Contextual Analysis,DE.AE-07.01
OSFI CSSA-56,Detect,Monitoring and Logging,56,"The FRFI's network monitoring and management processes are integrated with Incident Response processes, for rapid and formal escalations, communications and resolution of priority events.",Functional ,Superset of,8,10,"DE.AE-08.01: Defined criteria and severity levels are in place to facilitate the declaration, escalation, organization, and alignment of response activities to response plans within the organization and across relevant third parties.",DETECT / Adverse Event Analysis / Incident Declaration,DE.AE-08.01
OSFI CSSA-56,Detect,Monitoring and Logging,56,"The FRFI's network monitoring and management processes are integrated with Incident Response processes, for rapid and formal escalations, communications and resolution of priority events.",Functional ,Superset of,9,10,"RS.MA-02.01: Tools and processes are in place to ensure timely detection, inspection, assessment, and analysis of security event data for reliable activation of incident response processes.",RESPOND / Incident Management / Incident Triage & Validation,RS.MA-02.01
OSFI CSSA-56,Detect,Monitoring and Logging,56,"The FRFI's network monitoring and management processes are integrated with Incident Response processes, for rapid and formal escalations, communications and resolution of priority events.",Functional ,Superset of,8,10,"RS.MA-04.01: Response activities are centrally coordinated, response progress and milestones are tracked and documented, and new incident information is assimilated into ongoing tasks, assignments, and escalations.",RESPOND / Incident Management / Incident Escalation,RS.MA-04.01
OSFI CSSA-57,Detect,Monitoring and Logging,57,"FRFI and service provider logs and related records pertaining to security events are encrypted, time stamped and archived for later reference as needed. Event logs are maintained in a secure location.",Functional ,Intersects with,7,10,PR.PS-01.06: The organization employs defined encryption methods and management practices commensurate with the criticality of the information being protected and the inherent risk of the technical environment where used.,PROTECT / Platform Security / Configuration Management,PR.PS-01.06
OSFI CSSA-57,Detect,Monitoring and Logging,57,"FRFI and service provider logs and related records pertaining to security events are encrypted, time stamped and archived for later reference as needed. Event logs are maintained in a secure location.",Functional ,Equal,10,10,"PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.03
OSFI CSSA-58,Detect,"Benchmarking, Reviews and Assessments",58,"The FRFI conducts ongoing and periodic assessments (e.g., of cyber risk processes), with reference to external security frameworks, best practices, and emerging vulnerabilities to identify control gaps or deficiencies across the FRFI environment, and to identify opportunities and recommendations for improvement.",Functional ,Intersects with,9,10,"GV.RM-01.02: Technology and cybersecurity risk management strategies and frameworks are informed by applicable international, national, and financial services industry standards and guidelines.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.02
OSFI CSSA-58,Detect,"Benchmarking, Reviews and Assessments",58,"The FRFI conducts ongoing and periodic assessments (e.g., of cyber risk processes), with reference to external security frameworks, best practices, and emerging vulnerabilities to identify control gaps or deficiencies across the FRFI environment, and to identify opportunities and recommendations for improvement.",Functional ,Intersects with,9,10,"GV.RM-08.03: The organization defines, maintains, and uses technical security standards, architectures, processes or practices (including automated tools when practical) to ensure the security of its applications and infrastructure.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.03
OSFI CSSA-58,Detect,"Benchmarking, Reviews and Assessments",58,"The FRFI conducts ongoing and periodic assessments (e.g., of cyber risk processes), with reference to external security frameworks, best practices, and emerging vulnerabilities to identify control gaps or deficiencies across the FRFI environment, and to identify opportunities and recommendations for improvement.",Functional ,Intersects with,9,10,"ID.RA-02.01: The organization participates actively (in alignment with its business operations, inherent risk, and complexity) in information-sharing groups and collectives (e.g., cross-industry, cross-government and cross-border groups) to gather, distribute and analyze information about cyber practices, cyber threats, and early warning indicators relating to cyber threats.",IDENTIFY / Risk Assessment / Information Sharing Forums,ID.RA-02.01
OSFI CSSA-58,Detect,"Benchmarking, Reviews and Assessments",58,"The FRFI conducts ongoing and periodic assessments (e.g., of cyber risk processes), with reference to external security frameworks, best practices, and emerging vulnerabilities to identify control gaps or deficiencies across the FRFI environment, and to identify opportunities and recommendations for improvement.",Functional ,Intersects with,9,10,"ID.RA-08.01: The organization has established enterprise processes for soliciting, receiving and appropriately channeling vulnerability disclosures from:
(1) Public sources (e.g., customers and security researchers);
(2) Vulnerability sharing forums (e.g., FS-ISAC); and
(3) Third-parties (e.g., cloud vendors);
(4) Internal sources (e.g., development teams).",IDENTIFY / Risk Assessment / Vulnerability Disclosure Response,ID.RA-08.01
OSFI CSSA-59,Detect,"Benchmarking, Reviews and Assessments",59,The FRFI conducts ongoing reviews to determine policy compliance.,Functional ,Intersects with,7,8,"GV.PO-01.03: The organization's incentive programs are consistent with cyber risk management objectives, and technology and cybersecurity policies integrate with an employee accountability policy to ensure that all personnel are held accountable for complying with policies.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.03
OSFI CSSA-59,Detect,"Benchmarking, Reviews and Assessments",59,The FRFI conducts ongoing reviews to determine policy compliance.,Functional ,Intersects with,8,8,"GV.AU-01.02: The organization has an independent audit plan that provides for the evaluation of technology and cybersecurity risk, including compliance with the approved risk management framework, policies, and processes for technology, cybersecurity, and resilience; and how well the organization adapts to the evolving risk environment while remaining within its stated risk appetite and tolerance.",GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.02
OSFI CSSA-59,Detect,"Benchmarking, Reviews and Assessments",59,The FRFI conducts ongoing reviews to determine policy compliance.,Functional ,Intersects with,8,8,GV.AU-01.05: An independent audit function assesses compliance with applicable laws and regulations.,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.05
OSFI CSSA-59,Detect,"Benchmarking, Reviews and Assessments",59,The FRFI conducts ongoing reviews to determine policy compliance.,Functional ,Intersects with,7,8,"ID.IM-01.01: Technology, cybersecurity, and resilience controls are regularly assessed and/or tested for design and operating effectiveness.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.01
OSFI CSSA-59,Detect,"Benchmarking, Reviews and Assessments",59,The FRFI conducts ongoing reviews to determine policy compliance.,Functional ,Intersects with,7,8,"PR.AT-01.02: Cybersecurity awareness training includes, at a minimum, awareness of and competencies for data protection, personal data handling, compliance obligations, working with third parties, detecting cyber risks, and how to report any unusual activity or incidents.",PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.02
OSFI CSSA-59,Detect,"Benchmarking, Reviews and Assessments",59,The FRFI conducts ongoing reviews to determine policy compliance.,Functional ,Intersects with,7,8,"EX.MM-01.04: The organization regularly assesses critical third party adherence to service level agreements, product specifications, performance metrics, resource level/skill commitments, and quality expectations; addresses performance issues; and exercises contract penalties or credits as warranted.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01.04
OSFI CSSA-60,Detect,"Benchmarking, Reviews and Assessments",60,"	The FRFI conducts regular, automated reviews of IT infrastructure (e.g., endpoints) to verify that security controls are configured and functioning as expected.",Functional ,Intersects with,7,9,"ID.IM-01.01: Technology, cybersecurity, and resilience controls are regularly assessed and/or tested for design and operating effectiveness.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.01
OSFI CSSA-60,Detect,"Benchmarking, Reviews and Assessments",60,"	The FRFI conducts regular, automated reviews of IT infrastructure (e.g., endpoints) to verify that security controls are configured and functioning as expected.",Functional ,Intersects with,7,9,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PROTECT / Platform Security / Configuration Management,PR.PS-01.08
OSFI CSSA-60,Detect,"Benchmarking, Reviews and Assessments",60,"	The FRFI conducts regular, automated reviews of IT infrastructure (e.g., endpoints) to verify that security controls are configured and functioning as expected.",Functional ,Intersects with,8,9,"DE.CM-01.04: The organization has policies, procedures, and tools in place to monitor for, detect, and block access from/to devices that are not authorized or do not conform to security policy (e.g., unpatched systems).",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.04
OSFI CSSA-60,Detect,"Benchmarking, Reviews and Assessments",60,"	The FRFI conducts regular, automated reviews of IT infrastructure (e.g., endpoints) to verify that security controls are configured and functioning as expected.",Functional ,Intersects with,8,9,"DE.CM-09.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block the use of unsupported or unauthorized software, hardware, or configuration changes.","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",DE.CM-09.03
OSFI CSSA-61,Detect,"Benchmarking, Reviews and Assessments",61,"The FRFI communicates security assessment and audit results to appropriate internal management, and to the executive(s) responsible for the cyber risk framework.",Functional ,Intersects with,7,10,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04
OSFI CSSA-61,Detect,"Benchmarking, Reviews and Assessments",61,"The FRFI communicates security assessment and audit results to appropriate internal management, and to the executive(s) responsible for the cyber risk framework.",Functional ,Intersects with,7,10,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.02
