,,"NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping",,
NYDFS-29,500.12 Multi-factor authentication,500.12b,"If the covered entity has a CISO, the CISO may approve in writing the use of reasonably equivalent or more secure compensating controls. Such controls shall be reviewed periodically, but at a minimum annually.",Semantic,Intersects with,6,7,"The Profile addresses the regular and periodic review of controls but Section 500.12b is more specific, giving the minimum requirement for review to be annually.","GV.RR-01.04: The organization has designated a qualified Cybersecurity Officer (e.g., CISO) who is responsible and accountable for developing a cybersecurity strategy, overseeing and implementing its cybersecurity program, and enforcing its cybersecurity policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.04
NYDFS-29,500.12 Multi-factor authentication,500.12b,"If the covered entity has a CISO, the CISO may approve in writing the use of reasonably equivalent or more secure compensating controls. Such controls shall be reviewed periodically, but at a minimum annually.",Semantic,Intersects with,6,7,"The Profile addresses the regular and periodic review of controls but Section 500.12b is more specific, giving the minimum requirement for review to be annually.","GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",GV.PO-02.01
NYDFS-29,500.12 Multi-factor authentication,500.12b,"If the covered entity has a CISO, the CISO may approve in writing the use of reasonably equivalent or more secure compensating controls. Such controls shall be reviewed periodically, but at a minimum annually.",Semantic,Intersects with,3,7,"The Profile addresses the regular and periodic review of controls but Section 500.12b is more specific, giving the minimum requirement for review to be annually.","GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.02
NYDFS-29,500.12 Multi-factor authentication,500.12b,"If the covered entity has a CISO, the CISO may approve in writing the use of reasonably equivalent or more secure compensating controls. Such controls shall be reviewed periodically, but at a minimum annually.",Semantic,Intersects with,7,7,"The Profile addresses the regular and periodic review of controls but Section 500.12b is more specific, giving the minimum requirement for review to be annually.","ID.RA-07.04: Policy exceptions, risk mitigation plans, and risk acceptances resulting from assessments and evaluations, such as testing, exercises, audits, etc., are formally managed, approved, escalated to defined levels of management, and tracked to closure.",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.04
NYDFS-30,500.13 Asset management and data retention requirements,500.13.a,"As part of its cybersecurity program, each covered entity shall implement written policies and procedures designed to produce and maintain a complete, accurate and documented asset inventory of the covered entity’s information systems. The asset inventory shall be maintained in accordance with written policies and procedures. At a minimum, such policies and procedures shall include:
(1) a method to track key information for each asset, including, as applicable, the following:
(i) owner;
 (ii) location;
(iii) classification or sensitivity;
(iv) support expiration date; and
(v) recovery time objectives; and
 (2) the frequency required to update and validate the covered entity’s asset inventory. ",Semantic,Superset of,7,10,No Gaps Identified,"GV.OC-04.01: The organization maintains an inventory of key internal assets, business functions, and external dependencies that includes mappings to other assets, business functions, and information flows.",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.01
NYDFS-30,500.13 Asset management and data retention requirements,500.13.a,"As part of its cybersecurity program, each covered entity shall implement written policies and procedures designed to produce and maintain a complete, accurate and documented asset inventory of the covered entity’s information systems. The asset inventory shall be maintained in accordance with written policies and procedures. At a minimum, such policies and procedures shall include:
(1) a method to track key information for each asset, including, as applicable, the following:
(i) owner;
 (ii) location;
(iii) classification or sensitivity;
(iv) support expiration date; and
(v) recovery time objectives; and
 (2) the frequency required to update and validate the covered entity’s asset inventory. ",Semantic,Intersects with,8,10,No Gaps Identified,"GV.OC-05.03: The organization defines objectives (e.g., Recovery Time Objective, Maximum Tolerable Downtime, Impact Tolerance) for the resumption of critical operations in alignment with business imperatives, stakeholder obligations, and critical infrastructure dependencies.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.03
NYDFS-30,500.13 Asset management and data retention requirements,500.13.a,"As part of its cybersecurity program, each covered entity shall implement written policies and procedures designed to produce and maintain a complete, accurate and documented asset inventory of the covered entity’s information systems. The asset inventory shall be maintained in accordance with written policies and procedures. At a minimum, such policies and procedures shall include:
(1) a method to track key information for each asset, including, as applicable, the following:
(i) owner;
 (ii) location;
(iii) classification or sensitivity;
(iv) support expiration date; and
(v) recovery time objectives; and
 (2) the frequency required to update and validate the covered entity’s asset inventory. ",Semantic,Superset of,8,10,No Gaps Identified,"GV.RR-02.06: Roles and responsibilities for the inventory, ownership, and custodianship of applications, data and other technology assets are established and maintained.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.06
NYDFS-30,500.13 Asset management and data retention requirements,500.13.a,"As part of its cybersecurity program, each covered entity shall implement written policies and procedures designed to produce and maintain a complete, accurate and documented asset inventory of the covered entity’s information systems. The asset inventory shall be maintained in accordance with written policies and procedures. At a minimum, such policies and procedures shall include:
(1) a method to track key information for each asset, including, as applicable, the following:
(i) owner;
 (ii) location;
(iii) classification or sensitivity;
(iv) support expiration date; and
(v) recovery time objectives; and
 (2) the frequency required to update and validate the covered entity’s asset inventory. ",Semantic,Superset of,10,10,No Gaps Identified,"ID.AM-01.01: The organization maintains a current and complete asset inventory of physical devices, hardware, and information systems.",IDENTIFY / Asset Management / Hardware Inventory,ID.AM-01.01
NYDFS-30,500.13 Asset management and data retention requirements,500.13.a,"As part of its cybersecurity program, each covered entity shall implement written policies and procedures designed to produce and maintain a complete, accurate and documented asset inventory of the covered entity’s information systems. The asset inventory shall be maintained in accordance with written policies and procedures. At a minimum, such policies and procedures shall include:
(1) a method to track key information for each asset, including, as applicable, the following:
(i) owner;
 (ii) location;
(iii) classification or sensitivity;
(iv) support expiration date; and
(v) recovery time objectives; and
 (2) the frequency required to update and validate the covered entity’s asset inventory. ",Semantic,Superset of,9,10,No Gaps Identified,"ID.AM-02.01: The organization maintains a current and complete inventory of software platforms, business applications, and other software assets (e.g., virtual machines and virtual network devices).","IDENTIFY / Asset Management / Software, Services, & Systems Inventory",ID.AM-02.01
NYDFS-30,500.13 Asset management and data retention requirements,500.13.a,"As part of its cybersecurity program, each covered entity shall implement written policies and procedures designed to produce and maintain a complete, accurate and documented asset inventory of the covered entity’s information systems. The asset inventory shall be maintained in accordance with written policies and procedures. At a minimum, such policies and procedures shall include:
(1) a method to track key information for each asset, including, as applicable, the following:
(i) owner;
 (ii) location;
(iii) classification or sensitivity;
(iv) support expiration date; and
(v) recovery time objectives; and
 (2) the frequency required to update and validate the covered entity’s asset inventory. ",Semantic,Superset of,7,10,No Gaps Identified,"ID.AM-04.01: Hardware, software, and data assets maintained by or located at suppliers or other third parties are included in asset management inventories and lifecycle management processes as required for effective management and security.",IDENTIFY / Asset Management / Supplier Services Inventory,ID.AM-04.01
NYDFS-30,500.13 Asset management and data retention requirements,500.13.a,"As part of its cybersecurity program, each covered entity shall implement written policies and procedures designed to produce and maintain a complete, accurate and documented asset inventory of the covered entity’s information systems. The asset inventory shall be maintained in accordance with written policies and procedures. At a minimum, such policies and procedures shall include:
(1) a method to track key information for each asset, including, as applicable, the following:
(i) owner;
 (ii) location;
(iii) classification or sensitivity;
(iv) support expiration date; and
(v) recovery time objectives; and
 (2) the frequency required to update and validate the covered entity’s asset inventory. ",Semantic,Intersects with,6,10,No Gaps Identified,"ID.AM-05.01: The organization establishes and maintains risk-based policies and procedures for the classification of hardware, software, and data assets based on sensitivity and criticality.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.01
NYDFS-30,500.13 Asset management and data retention requirements,500.13.a,"As part of its cybersecurity program, each covered entity shall implement written policies and procedures designed to produce and maintain a complete, accurate and documented asset inventory of the covered entity’s information systems. The asset inventory shall be maintained in accordance with written policies and procedures. At a minimum, such policies and procedures shall include:
(1) a method to track key information for each asset, including, as applicable, the following:
(i) owner;
 (ii) location;
(iii) classification or sensitivity;
(iv) support expiration date; and
(v) recovery time objectives; and
 (2) the frequency required to update and validate the covered entity’s asset inventory. ",Semantic,Intersects with,8,10,No Gaps Identified,"ID.AM-08.01: The organization establishes and maintains asset lifecycle management policies and procedures to ensure that assets are acquired, tracked, implemented, used, decommissioned, and protected commensurate with their sensitivity, criticality, and business value.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.01
NYDFS-31,500.13 Asset management and data retention requirements,500.13.b,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(k)(2)–(3) of this Part that is no longer necessary for business operations or for other 
legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner in which the information is maintained.",Semantic,Intersects with,6,10,No Gaps Identified,"ID.AM-08.03: The organization establishes policies, standards, and procedures for data governance, data management, and data retention consistent with its legal obligations and the value of data as an organizational asset.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.03
NYDFS-31,500.13 Asset management and data retention requirements,500.13.b,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(k)(2)–(3) of this Part that is no longer necessary for business operations or for other 
legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner in which the information is maintained.",Semantic,Superset of,8,10,No Gaps Identified,"ID.AM-08.04: The organization's asset management processes ensure the protection of sensitive data throughout removal, transfers, maintenance, end-of-life, and secure disposal or re-use.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.04
NYDFS-31,500.13 Asset management and data retention requirements,500.13.b,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(k)(2)–(3) of this Part that is no longer necessary for business operations or for other 
legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner in which the information is maintained.",Semantic,Superset of,9,10,No Gaps Identified,"ID.AM-08.05: The organization defines and implements standards and procedures, consistent with its data retention policy, for destroying or securely erasing data, media, and storage devices when the data is no longer needed.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.05
NYDFS-31,500.13 Asset management and data retention requirements,500.13.b,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(k)(2)–(3) of this Part that is no longer necessary for business operations or for other 
legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner in which the information is maintained.",Semantic,Intersects with,7,10,No Gaps Identified,"ID.AM-08.06: Minimum cybersecurity requirements for third-parties cover the entire relationship lifecycle, from the acquisition of data through the return or destruction of data, to include limitations on data use, access, storage, and geographic location.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.06
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,8,10,No Gaps Identified,PR.AT-01.01: All personnel receive cybersecurity awareness training upon hire and on a regular basis.,PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.01
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,8,10,No Gaps Identified,"PR.AT-01.02: Cybersecurity awareness training includes, at a minimum, awareness of and competencies for data protection, personal data handling, compliance obligations, working with third parties, detecting cyber risks, and how to report any unusual activity or incidents.",PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.02
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,9,10,No Gaps Identified,"PR.AT-01.03: Cybersecurity awareness training is updated on a regular basis to reflect risks and threats identified by the organization, the organization's security policies and standards, applicable laws and regulations, and changes in individual responsibilities.",PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.03
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,8,10,No Gaps Identified,"PR.AT-02.01: Mechanisms are in place to ensure that the personnel working with cybersecurity and technology (e.g., developers, DBAs, network admins, etc.) maintain current knowledge and skills related to changing threats, countermeasures, new tools, best practices, and their job responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.01
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,8,10,No Gaps Identified,PR.AT-02.05: All third party staff receive cybersecurity awareness and job training sufficient for them to perform their duties and maintain organizational security.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.05
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,8,10,No Gaps Identified,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.07
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,8,10,No Gaps Identified,PR.DS-01.02: The organization implements data loss identification and prevention tools to monitor and protect against confidential data theft or destruction by an employee or an external actor.,PROTECT / Data Security / Protection of Data at Rest,PR.DS-01.02
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,7,10,No Gaps Identified,"PR.DS-01.03: The organization defines and implements controls for the protection and use of removable media (e.g., access/use restrictions, encryption, malware scanning, data loss prevention, etc.)",PROTECT / Data Security / Protection of Data at Rest,PR.DS-01.03
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,7,10,No Gaps Identified,"PR.PS-05.01: The organization has policies, procedures, and tools in place to detect and block malware from infecting networks and systems, including automatically updating malware signatures and behavior profiles on all endpoints.",PROTECT / Platform Security / Unauthorized Software Installation & Execution,PR.PS-05.01
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,7,10,No Gaps Identified,"PR.PS-05.02: The organization implements safeguards against unauthorized mobile code (e.g., JavaScript, ActiveX, VBScript, PowerShell, etc.) on mobile, end point, and server systems.",PROTECT / Platform Security / Unauthorized Software Installation & Execution,PR.PS-05.02
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,7,10,No Gaps Identified,"PR.PS-05.03: The organization has policies, procedures, and tools in place to detect, isolate, and block the use of attached malware or malicious links present in email or message services.",PROTECT / Platform Security / Unauthorized Software Installation & Execution,PR.PS-05.03
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,8,10,No Gaps Identified,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.03
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,8,10,No Gaps Identified,"DE.CM-01.05: The organization implements measures to detect and block access to unauthorized, inappropriate, or malicious websites and services (e.g. social media, messaging, file sharing).",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.05
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,8,10,No Gaps Identified,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.02
NYDFS-32,500.14 Monitoring and training,500.14.a,"As part of its cybersecurity program, each covered entity shall:
(1) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; 
(2) implement risk-based controls designed to protect against malicious code, including those that monitor and filter web traffic and electronic mail to block malicious content; and 
(3) provide periodic, but at a minimum annual, cybersecurity awareness training that includes social engineering for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment.",Semantic,Superset of,7,10,No Gaps Identified,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.03
NYDFS-33,500.14 Monitoring and training,500.14.b,"Each class A company shall implement, unless the CISO has approved in writing the use of reasonably equivalent or more secure compensating controls: 
(1) an endpoint detection and response solution to monitor anomalous activity, including but not limited to lateral movement; and 
(2) a solution that centralizes logging and security event alerting. ",Semantic,Intersects with,9,10,No Gaps Identified,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PROTECT / Platform Security / Configuration Management,PR.PS-01.08
NYDFS-33,500.14 Monitoring and training,500.14.b,"Each class A company shall implement, unless the CISO has approved in writing the use of reasonably equivalent or more secure compensating controls: 
(1) an endpoint detection and response solution to monitor anomalous activity, including but not limited to lateral movement; and 
(2) a solution that centralizes logging and security event alerting. ",Semantic,Superset of,5,10,No Gaps Identified,"PR.PS-04.02: The organization defines the scope and coverage of audit/log records to be created and monitored (i.e., internal and external environments, devices, and applications/services/software to be monitored) and has controls in place to ensure that the intended scope is fully covered and that no logging failures are inhibiting the collection of required logs.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.02
NYDFS-33,500.14 Monitoring and training,500.14.b,"Each class A company shall implement, unless the CISO has approved in writing the use of reasonably equivalent or more secure compensating controls: 
(1) an endpoint detection and response solution to monitor anomalous activity, including but not limited to lateral movement; and 
(2) a solution that centralizes logging and security event alerting. ",Semantic,Intersects with,7,10,No Gaps Identified,PR.IR-04.01: Baseline measures of network and system utilization and transaction activity are captured to support capacity planning and anomalous activity detection.,PROTECT / Technology Infrastructure Resilience / Capacity Management,PR.IR-04.01
NYDFS-33,500.14 Monitoring and training,500.14.b,"Each class A company shall implement, unless the CISO has approved in writing the use of reasonably equivalent or more secure compensating controls: 
(1) an endpoint detection and response solution to monitor anomalous activity, including but not limited to lateral movement; and 
(2) a solution that centralizes logging and security event alerting. ",Semantic,Superset of,9,10,No Gaps Identified,"DE.CM-02.01: The organization's controls include monitoring and detection of anomalous activities and potential intrusion events across the organization's physical environment and infrastructure, including the detection of environmental threats (fire, water, service outages, etc.) and unauthorized physical access to high-risk system components and locations.",DETECT / Continuous Monitoring / Physical Environment Monitoring,DE.CM-02.01
NYDFS-33,500.14 Monitoring and training,500.14.b,"Each class A company shall implement, unless the CISO has approved in writing the use of reasonably equivalent or more secure compensating controls: 
(1) an endpoint detection and response solution to monitor anomalous activity, including but not limited to lateral movement; and 
(2) a solution that centralizes logging and security event alerting. ",Semantic,Superset of,9,10,No Gaps Identified,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.02
NYDFS-33,500.14 Monitoring and training,500.14.b,"Each class A company shall implement, unless the CISO has approved in writing the use of reasonably equivalent or more secure compensating controls: 
(1) an endpoint detection and response solution to monitor anomalous activity, including but not limited to lateral movement; and 
(2) a solution that centralizes logging and security event alerting. ",Semantic,Superset of,8,10,No Gaps Identified,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.03
NYDFS-33,500.14 Monitoring and training,500.14.b,"Each class A company shall implement, unless the CISO has approved in writing the use of reasonably equivalent or more secure compensating controls: 
(1) an endpoint detection and response solution to monitor anomalous activity, including but not limited to lateral movement; and 
(2) a solution that centralizes logging and security event alerting. ",Semantic,Superset of,8,10,No Gaps Identified,DE.CM-06.02: The organization implements an explicit approval and logging process and sets up automated alerts to monitor and prevent any unauthorized access to a critical system by a third-party service provider.,DETECT / Continuous Monitoring / Service Provider Monitoring,DE.CM-06.02
NYDFS-33,500.14 Monitoring and training,500.14.b,"Each class A company shall implement, unless the CISO has approved in writing the use of reasonably equivalent or more secure compensating controls: 
(1) an endpoint detection and response solution to monitor anomalous activity, including but not limited to lateral movement; and 
(2) a solution that centralizes logging and security event alerting. ",Semantic,Superset of,7,10,No Gaps Identified,"DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation,DE.AE-03.01
NYDFS-33,500.14 Monitoring and training,500.14.b,"Each class A company shall implement, unless the CISO has approved in writing the use of reasonably equivalent or more secure compensating controls: 
(1) an endpoint detection and response solution to monitor anomalous activity, including but not limited to lateral movement; and 
(2) a solution that centralizes logging and security event alerting. ",Semantic,Superset of,7,10,No Gaps Identified,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DETECT / Adverse Event Analysis / Event Information Correlation,DE.AE-03.02
