,"European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping",,
2.5 Response and recovery / 2.5.2.3 Communication and collaboration / Crisis communication and responsible disclosure,2.5.2.3.44,"The FMI should develop mechanisms that instantaneously notify its senior management, relevant employees and relevant stakeholders (including oversight and regulatory authorities) of cyber incidents through appropriate communication channels with tracking and verification of receipt. Such mechanisms should be based on predefined criteria and informed by scenario-based planning and analysis, as well as prior experience.",Innovating,Full Summarily,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02
2.5 Response and recovery / 2.5.2.3 Communication and collaboration / Crisis communication and responsible disclosure,2.5.2.3.44,"The FMI should develop mechanisms that instantaneously notify its senior management, relevant employees and relevant stakeholders (including oversight and regulatory authorities) of cyber incidents through appropriate communication channels with tracking and verification of receipt. Such mechanisms should be based on predefined criteria and informed by scenario-based planning and analysis, as well as prior experience.",Innovating,Full Summarily,"RS.CO-02.03: The organization maintains and regularly tests incident response communication procedures, with associated contact lists, call trees, and automatic notifications, to quickly coordinate and communicate with internal and external stakeholders during or following an incident.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.03
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.45,The FMI should identify the threat scenarios that might have a potential impact on its business and determine which pieces of digital evidence (e.g. types of logs) should be collected to facilitate forensic investigation.,Evolving,Full Summarily,"ID.RA-03.01: The organization, on an ongoing basis, identifies, analyzes, correlates, characterizes, and reports threats that are internal and external to the firm.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.01
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.45,The FMI should identify the threat scenarios that might have a potential impact on its business and determine which pieces of digital evidence (e.g. types of logs) should be collected to facilitate forensic investigation.,Evolving,Full Summarily,"PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.01
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.46,"The FMI should identify and document the digital evidence available on its systems and its location, and understand how the evidence should be handled throughout its life cycle.",Evolving,Full,"RS.AN-06.01: The organization establishes a risk-based approach and procedures for quarantining systems, conducting investigations, and collecting and preserving evidence per best practices and forensic standards.",RESPOND / Incident Analysis / Investigation Documentation,RS.AN-06.01
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.47,"Based on Expectations 45 and 46, the FMI should develop and implement a forensic readiness policy and the capability to support forensic investigation, which also outlines the relevant system logging policies that include the types of logs to be maintained and their retention periods. The FMI may outsource the conduct of forensic investigations to external specialists.",Evolving,Full Summarily,"ID.IM-04.07: The organization pre-identifies, pre-qualifies, and retains third party incident management support and forensic service firms, as required, that can be called upon to quickly assist with incident response, investigation, and recovery.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.07
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.47,"Based on Expectations 45 and 46, the FMI should develop and implement a forensic readiness policy and the capability to support forensic investigation, which also outlines the relevant system logging policies that include the types of logs to be maintained and their retention periods. The FMI may outsource the conduct of forensic investigations to external specialists.",Evolving,Full Summarily,"PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.01
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.47,"Based on Expectations 45 and 46, the FMI should develop and implement a forensic readiness policy and the capability to support forensic investigation, which also outlines the relevant system logging policies that include the types of logs to be maintained and their retention periods. The FMI may outsource the conduct of forensic investigations to external specialists.",Evolving,Full Summarily,"PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.03
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.47,"Based on Expectations 45 and 46, the FMI should develop and implement a forensic readiness policy and the capability to support forensic investigation, which also outlines the relevant system logging policies that include the types of logs to be maintained and their retention periods. The FMI may outsource the conduct of forensic investigations to external specialists.",Evolving,Full Summarily,"RS.AN-06.01: The organization establishes a risk-based approach and procedures for quarantining systems, conducting investigations, and collecting and preserving evidence per best practices and forensic standards.",RESPOND / Incident Analysis / Investigation Documentation,RS.AN-06.01
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.48,"The FMI should establish procedures for securely collecting digital evidence in forensically acceptable manner and in accordance with the requirements defined in the forensic readiness policy, taking into account the requirements of the local jurisdiction. These procedures should describe how investigative staff should produce step-by-step documentation of all activities performed on digital evidence and their impact.",Evolving,Full Summarily,"ID.IM-04.07: The organization pre-identifies, pre-qualifies, and retains third party incident management support and forensic service firms, as required, that can be called upon to quickly assist with incident response, investigation, and recovery.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.07
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.48,"The FMI should establish procedures for securely collecting digital evidence in forensically acceptable manner and in accordance with the requirements defined in the forensic readiness policy, taking into account the requirements of the local jurisdiction. These procedures should describe how investigative staff should produce step-by-step documentation of all activities performed on digital evidence and their impact.",Evolving,Full Summarily,"RS.AN-06.01: The organization establishes a risk-based approach and procedures for quarantining systems, conducting investigations, and collecting and preserving evidence per best practices and forensic standards.",RESPOND / Incident Analysis / Investigation Documentation,RS.AN-06.01
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.48,"The FMI should establish procedures for securely collecting digital evidence in forensically acceptable manner and in accordance with the requirements defined in the forensic readiness policy, taking into account the requirements of the local jurisdiction. These procedures should describe how investigative staff should produce step-by-step documentation of all activities performed on digital evidence and their impact.",Evolving,Full Summarily,"RS.AN-07.01: Incident-related forensic data is captured, secured, and preserved in a manner supporting integrity, provenance, and evidentiary value.",RESPOND / Incident Analysis / Incident Data Collection & Preservation,RS.AN-07.01
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.49,"The FMI should establish policies for securely handling and storing the collected digital evidence, ensuring its authenticity and integrity. The FMI should develop procedures to demonstrate that the evidence’s integrity is preserved whenever it is accessed, used or moved (i.e. chain of custody).",Evolving,Full Summarily,"RS.AN-06.01: The organization establishes a risk-based approach and procedures for quarantining systems, conducting investigations, and collecting and preserving evidence per best practices and forensic standards.",RESPOND / Incident Analysis / Investigation Documentation,RS.AN-06.01
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.49,"The FMI should establish policies for securely handling and storing the collected digital evidence, ensuring its authenticity and integrity. The FMI should develop procedures to demonstrate that the evidence’s integrity is preserved whenever it is accessed, used or moved (i.e. chain of custody).",Evolving,Full Summarily,"RS.AN-07.01: Incident-related forensic data is captured, secured, and preserved in a manner supporting integrity, provenance, and evidentiary value.",RESPOND / Incident Analysis / Incident Data Collection & Preservation,RS.AN-07.01
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.50,"The FMI should train its staff so that all those involved in an incident understand their responsibilities related to handling the digital evidence, ensuring it is not compromised and remains valid as per the requirements of the local jurisdiction.",Evolving,Full Summarily,"ID.IM-04.02: The organization's incident response and business continuity plans contain clearly defined roles, responsibilities, and levels of decision-making authority, and include all needed areas of participation and expertise across the organization and key third-parties.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.02
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.50,"The FMI should train its staff so that all those involved in an incident understand their responsibilities related to handling the digital evidence, ensuring it is not compromised and remains valid as per the requirements of the local jurisdiction.",Evolving,Full Summarily,"ID.IM-04.07: The organization pre-identifies, pre-qualifies, and retains third party incident management support and forensic service firms, as required, that can be called upon to quickly assist with incident response, investigation, and recovery.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.07
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.50,"The FMI should train its staff so that all those involved in an incident understand their responsibilities related to handling the digital evidence, ensuring it is not compromised and remains valid as per the requirements of the local jurisdiction.",Evolving,Full Summarily,PR.AT-02.04: The organization maintains and enhances the skills and knowledge of the in-house staff performing incident management and forensic investigation activities.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.04
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.50,"The FMI should train its staff so that all those involved in an incident understand their responsibilities related to handling the digital evidence, ensuring it is not compromised and remains valid as per the requirements of the local jurisdiction.",Evolving,Full Summarily,"RS.AN-06.01: The organization establishes a risk-based approach and procedures for quarantining systems, conducting investigations, and collecting and preserving evidence per best practices and forensic standards.",RESPOND / Incident Analysis / Investigation Documentation,RS.AN-06.01
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.51,"The FMI should ensure that staff specifically involved in the forensic investigation have the appropriate degree of competence in handling the digital evidence, ensuring its authenticity and integrity is not compromised and remains valid as per the requirements of the local jurisdiction.",Evolving,Full Summarily,"ID.IM-04.07: The organization pre-identifies, pre-qualifies, and retains third party incident management support and forensic service firms, as required, that can be called upon to quickly assist with incident response, investigation, and recovery.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.07
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.51,"The FMI should ensure that staff specifically involved in the forensic investigation have the appropriate degree of competence in handling the digital evidence, ensuring its authenticity and integrity is not compromised and remains valid as per the requirements of the local jurisdiction.",Evolving,Full Summarily,PR.AT-02.04: The organization maintains and enhances the skills and knowledge of the in-house staff performing incident management and forensic investigation activities.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.04
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.52,The FMI should closely integrate plans for forensic readiness with plans for incident management and other related business planning activities.,Advancing,Full Summarily,"ID.IM-04.07: The organization pre-identifies, pre-qualifies, and retains third party incident management support and forensic service firms, as required, that can be called upon to quickly assist with incident response, investigation, and recovery.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.07
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.52,The FMI should closely integrate plans for forensic readiness with plans for incident management and other related business planning activities.,Advancing,Full Summarily,PR.AT-02.04: The organization maintains and enhances the skills and knowledge of the in-house staff performing incident management and forensic investigation activities.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.04
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.53,The FMI should have a management review process that improves forensic readiness plans in accordance with experience and new knowledge.,Innovating,Full Summarily,"ID.IM-04.07: The organization pre-identifies, pre-qualifies, and retains third party incident management support and forensic service firms, as required, that can be called upon to quickly assist with incident response, investigation, and recovery.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.07
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.53,The FMI should have a management review process that improves forensic readiness plans in accordance with experience and new knowledge.,Innovating,Full Summarily,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.08
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.53,The FMI should have a management review process that improves forensic readiness plans in accordance with experience and new knowledge.,Innovating,Full Summarily,PR.AT-02.04: The organization maintains and enhances the skills and knowledge of the in-house staff performing incident management and forensic investigation activities.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.04
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.53,The FMI should have a management review process that improves forensic readiness plans in accordance with experience and new knowledge.,Innovating,Full Summarily,"RS.AN-06.01: The organization establishes a risk-based approach and procedures for quarantining systems, conducting investigations, and collecting and preserving evidence per best practices and forensic standards.",RESPOND / Incident Analysis / Investigation Documentation,RS.AN-06.01
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.53,The FMI should have a management review process that improves forensic readiness plans in accordance with experience and new knowledge.,Innovating,Full Summarily,"EX.MM-02.03: The organization collaborates with suppliers to maintain and improve the secure use of products, services, and external connections.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Management,EX.MM-02.03
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.54,The FMI should take an open and collaborative approach with the ecosystem to improve lawful forensic investigation and incident handling methodologies and tools.,Innovating,Full Summarily,"ID.RA-02.01: The organization participates actively (in alignment with its business operations, inherent risk, and complexity) in information-sharing groups and collectives (e.g., cross-industry, cross-government and cross-border groups) to gather, distribute and analyze information about cyber practices, cyber threats, and early warning indicators relating to cyber threats.",IDENTIFY / Risk Assessment / Information Sharing Forums,ID.RA-02.01
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.54,The FMI should take an open and collaborative approach with the ecosystem to improve lawful forensic investigation and incident handling methodologies and tools.,Innovating,Full Summarily,ID.RA-02.02: The organization shares authorized information on its cyber resilience framework and the effectiveness of protection technologies bilaterally with trusted external stakeholders to promote the understanding of each party’s approach to securing systems.,IDENTIFY / Risk Assessment / Information Sharing Forums,ID.RA-02.02
2.5 Response and recovery / 2.5.2.4 Forensic readiness,2.5.2.4.54,The FMI should take an open and collaborative approach with the ecosystem to improve lawful forensic investigation and incident handling methodologies and tools.,Innovating,Full Summarily,"EX.MM-02.03: The organization collaborates with suppliers to maintain and improve the secure use of products, services, and external connections.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Management,EX.MM-02.03
2.6 Testing / 2.6.2 Expectations / General,2.6.2.1,"The FMI should establish and maintain a comprehensive testing programme as an integral part of its cyber resilience framework. The testing programme should consist of a broad spectrum of methodologies, practices and tools for monitoring, assessing and evaluating the effectiveness of the core components of the cyber resilience framework.",Evolving,Full Summarily,"ID.IM-02.03: The organization tests and validates the effectiveness of the incident detection, reporting, and communication processes and protocols with internal and external stakeholders.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.03
2.6 Testing / 2.6.2 Expectations / General,2.6.2.1,"The FMI should establish and maintain a comprehensive testing programme as an integral part of its cyber resilience framework. The testing programme should consist of a broad spectrum of methodologies, practices and tools for monitoring, assessing and evaluating the effectiveness of the core components of the cyber resilience framework.",Evolving,Full Summarily,"ID.IM-02.04: The organization's testing program validates the effectiveness of its resilience strategy and response, disaster recovery, and resumption plans on a regular basis or upon major changes to business or system functions, and includes external stakeholders as required.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.04
2.6 Testing / 2.6.2 Expectations / General,2.6.2.1,"The FMI should establish and maintain a comprehensive testing programme as an integral part of its cyber resilience framework. The testing programme should consist of a broad spectrum of methodologies, practices and tools for monitoring, assessing and evaluating the effectiveness of the core components of the cyber resilience framework.",Evolving,Full Summarily,"ID.IM-02.05: The organization establishes testing programs that include a range of scenarios, including severe but plausible scenarios (e.g., disruptive, destructive, corruptive), that could affect the organization's ability to service internal and external stakeholders.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.05
2.6 Testing / 2.6.2 Expectations / General,2.6.2.1,"The FMI should establish and maintain a comprehensive testing programme as an integral part of its cyber resilience framework. The testing programme should consist of a broad spectrum of methodologies, practices and tools for monitoring, assessing and evaluating the effectiveness of the core components of the cyber resilience framework.",Evolving,Full Summarily,"ID.IM-02.06: The organization designs and tests its systems and processes, and employs third-party support resources (e.g., Sheltered Harbor), to enable recovery of accurate data (e.g., material financial transactions) sufficient to support defined business recovery time and recovery point objectives.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.06
2.6 Testing / 2.6.2 Expectations / General,2.6.2.1,"The FMI should establish and maintain a comprehensive testing programme as an integral part of its cyber resilience framework. The testing programme should consist of a broad spectrum of methodologies, practices and tools for monitoring, assessing and evaluating the effectiveness of the core components of the cyber resilience framework.",Evolving,Full Summarily,"ID.IM-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management are involved in testing as part of a crisis management team and are informed of test results.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.07
2.6 Testing / 2.6.2 Expectations / General,2.6.2.1,"The FMI should establish and maintain a comprehensive testing programme as an integral part of its cyber resilience framework. The testing programme should consist of a broad spectrum of methodologies, practices and tools for monitoring, assessing and evaluating the effectiveness of the core components of the cyber resilience framework.",Evolving,Full Summarily,"ID.IM-02.08: The organization tests and exercises, independently and in coordination with other critical sector partners, its ability to support sector-wide resilience in the event of extreme financial stress or the instability of external dependencies, such as connectivity to markets, payment systems, clearing entities, messaging services, etc.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.08
2.6 Testing / 2.6.2 Expectations / General,2.6.2.1,"The FMI should establish and maintain a comprehensive testing programme as an integral part of its cyber resilience framework. The testing programme should consist of a broad spectrum of methodologies, practices and tools for monitoring, assessing and evaluating the effectiveness of the core components of the cyber resilience framework.",Evolving,Full Summarily,"ID.IM-02.09: Corrective actions for gaps identified during security-related, incident management, response plan, and disaster recovery testing are retested and validated, or have a formal risk acceptance or risk exception.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.09
2.6 Testing / 2.6.2 Expectations / General,2.6.2.1,"The FMI should establish and maintain a comprehensive testing programme as an integral part of its cyber resilience framework. The testing programme should consist of a broad spectrum of methodologies, practices and tools for monitoring, assessing and evaluating the effectiveness of the core components of the cyber resilience framework.",Evolving,Full Summarily,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.08
2.6 Testing / 2.6.2 Expectations / General,2.6.2.2,The FMI should adopt a risk-based approach in developing the comprehensive testing programme. This should be reviewed and updated on a regular basis taking into due account the evolving landscape of threats and the criticality of information assets.,Evolving,Full Summarily,"ID.RA-05.01: Threats, vulnerabilities, likelihoods, and impacts are used to determine overall technology, cybersecurity, and resilience risk to the organization.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.01
2.6 Testing / 2.6.2 Expectations / General,2.6.2.2,The FMI should adopt a risk-based approach in developing the comprehensive testing programme. This should be reviewed and updated on a regular basis taking into due account the evolving landscape of threats and the criticality of information assets.,Evolving,Full Summarily,"ID.IM-02.03: The organization tests and validates the effectiveness of the incident detection, reporting, and communication processes and protocols with internal and external stakeholders.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.03
2.6 Testing / 2.6.2 Expectations / General,2.6.2.2,The FMI should adopt a risk-based approach in developing the comprehensive testing programme. This should be reviewed and updated on a regular basis taking into due account the evolving landscape of threats and the criticality of information assets.,Evolving,Full Summarily,"ID.IM-02.04: The organization's testing program validates the effectiveness of its resilience strategy and response, disaster recovery, and resumption plans on a regular basis or upon major changes to business or system functions, and includes external stakeholders as required.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.04
2.6 Testing / 2.6.2 Expectations / General,2.6.2.3,"The FMI should develop appropriate capabilities and involve, if deemed necessary, all relevant internal stakeholders (including business lines and operational units) when implementing its testing programme.",Evolving,Full Summarily,"ID.IM-02.03: The organization tests and validates the effectiveness of the incident detection, reporting, and communication processes and protocols with internal and external stakeholders.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.03
2.6 Testing / 2.6.2 Expectations / General,2.6.2.3,"The FMI should develop appropriate capabilities and involve, if deemed necessary, all relevant internal stakeholders (including business lines and operational units) when implementing its testing programme.",Evolving,Full Summarily,"ID.IM-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management are involved in testing as part of a crisis management team and are informed of test results.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.07
2.6 Testing / 2.6.2 Expectations / General,2.6.2.4,"The FMI should ensure that the tests are undertaken by independent parties, whether internal or external.",Evolving,Full Summarily,"ID.IM-02.01: The organization conducts regular, independent penetration testing and red team testing on the organization's network, internet-facing systems, critical applications, and associated controls to identify gaps in cybersecurity defenses.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.01
2.6 Testing / 2.6.2 Expectations / General,2.6.2.4,"The FMI should ensure that the tests are undertaken by independent parties, whether internal or external.",Evolving,Full Summarily,ID.IM-02.02: The thoroughness and results of independent penetration testing are regularly reviewed to help determine the need to rotate testing vendors to obtain fresh independent perspectives.,IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.02
2.6 Testing / 2.6.2 Expectations / General,2.6.2.5,"For continuous improvement of its cyber resilience posture, the FMI should establish policies and procedures to prioritise and remedy issues identified from the various tests and perform subsequent validation to assess whether gaps have been fully addressed.",Evolving,Full Summarily,"ID.IM-02.09: Corrective actions for gaps identified during security-related, incident management, response plan, and disaster recovery testing are retested and validated, or have a formal risk acceptance or risk exception.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.09
2.6 Testing / 2.6.2 Expectations / General,2.6.2.5,"For continuous improvement of its cyber resilience posture, the FMI should establish policies and procedures to prioritise and remedy issues identified from the various tests and perform subsequent validation to assess whether gaps have been fully addressed.",Evolving,Full Summarily,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.08
2.6 Testing / 2.6.2 Expectations / General,2.6.2.6,The FMI’s Board and senior management should incorporate lessons learned from the test results.,Evolving,Full,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.08
2.6 Testing / 2.6.2 Expectations / General,2.6.2.7,"The FMI should test critical systems, applications and data recovery plans at least annually.",Evolving,Full Summarily,"ID.IM-02.01: The organization conducts regular, independent penetration testing and red team testing on the organization's network, internet-facing systems, critical applications, and associated controls to identify gaps in cybersecurity defenses.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.01
2.6 Testing / 2.6.2 Expectations / General,2.6.2.7,"The FMI should test critical systems, applications and data recovery plans at least annually.",Evolving,Full Summarily,"ID.IM-02.04: The organization's testing program validates the effectiveness of its resilience strategy and response, disaster recovery, and resumption plans on a regular basis or upon major changes to business or system functions, and includes external stakeholders as required.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.04
2.6 Testing / 2.6.2 Expectations / General,2.6.2.8,"The FMI should test response, resumption and recovery plans, including governance and coordination, and crisis communication arrangements and practices, at least annually.",Evolving,Full,"ID.IM-02.04: The organization's testing program validates the effectiveness of its resilience strategy and response, disaster recovery, and resumption plans on a regular basis or upon major changes to business or system functions, and includes external stakeholders as required.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.04
2.6 Testing / 2.6.2 Expectations / General,2.6.2.9,The FMI should test the information backups periodically to verify they are accessible and readable.,Evolving,Full Summarily,"ID.IM-02.06: The organization designs and tests its systems and processes, and employs third-party support resources (e.g., Sheltered Harbor), to enable recovery of accurate data (e.g., material financial transactions) sufficient to support defined business recovery time and recovery point objectives.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.06
2.6 Testing / 2.6.2 Expectations / General,2.6.2.9,The FMI should test the information backups periodically to verify they are accessible and readable.,Evolving,Full Summarily,"PR.DS-11.01: The organization defines and implements standards and procedures for configuring and performing backups and data replications, including defining backup requirements by data/application/infrastructure criticality, segregating (e.g., air-gapping) and securing backups, verifying backup integrity, and performing backup restoration testing.",PROTECT / Data Security / Data Backup,PR.DS-11.01
2.6 Testing / 2.6.2 Expectations / Vulnerability assessments,2.6.2.10,"The FMI should develop a documented and regularly updated vulnerability management process in order to classify, prioritise and remedy potential weaknesses identified in vulnerability assessments and perform subsequent validation to assess whether gaps have been fully addressed.",Evolving,Full Summarily,"ID.RA-01.03: The organization establishes and maintains standards and capabilities for ongoing vulnerability management, including systematic scans, or reviews reasonably designed to identify known cyber vulnerabilities and upgrade opportunities, across the organization's environments and assets.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.03
2.6 Testing / 2.6.2 Expectations / Vulnerability assessments,2.6.2.10,"The FMI should develop a documented and regularly updated vulnerability management process in order to classify, prioritise and remedy potential weaknesses identified in vulnerability assessments and perform subsequent validation to assess whether gaps have been fully addressed.",Evolving,Full Summarily,"ID.RA-06.05: The organization defines and implements standards and procedures to prioritize and remediate issues identified in vulnerability scanning or penetration testing, including emergency or zero-day threats and vulnerabilities.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.05
2.6 Testing / 2.6.2 Expectations / Vulnerability assessments,2.6.2.10,"The FMI should develop a documented and regularly updated vulnerability management process in order to classify, prioritise and remedy potential weaknesses identified in vulnerability assessments and perform subsequent validation to assess whether gaps have been fully addressed.",Evolving,Full Summarily,"ID.IM-02.01: The organization conducts regular, independent penetration testing and red team testing on the organization's network, internet-facing systems, critical applications, and associated controls to identify gaps in cybersecurity defenses.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.01
2.6 Testing / 2.6.2 Expectations / Vulnerability assessments,2.6.2.10,"The FMI should develop a documented and regularly updated vulnerability management process in order to classify, prioritise and remedy potential weaknesses identified in vulnerability assessments and perform subsequent validation to assess whether gaps have been fully addressed.",Evolving,Full Summarily,ID.IM-02.02: The thoroughness and results of independent penetration testing are regularly reviewed to help determine the need to rotate testing vendors to obtain fresh independent perspectives.,IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.02
2.6 Testing / 2.6.2 Expectations / Vulnerability assessments,2.6.2.11,"The FMI’s vulnerability management process should help any type of exploitable weakness to be identified (technical, processual, organisational and emergent) in the critical functions, their supporting processes and information assets where they reside.",Evolving,Full Summarily,"ID.RA-01.01: The organization identifies, assesses, and documents risks and potential vulnerabilities associated with assets, to include workforce, data, technology, facilities, services, and connections.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.01
