,,"Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping",,,
OSFI B-13-24,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.7 Incident and Problem Management
Principle 10: THE FRFI should effectively detect, log, manage, resolve, monitor and report on technology incidents and minimize their impacts.","2.7.2 Incident management process is clear, responsive and risk-based","FRFIs should implement processes and procedures for managing technology incidents; elements may include:
- Defining and documenting roles and responsibilities of relevant internal and external parties to support effective incident response;
- Establishing early warning indicators or triggers of system disruption (i.e., detection) that are informed by ongoing threat assessment and risk surveillance activities;
- Identifying and classifying incidents according to priority, based on their impacts on business services;
- Developing and implementing incident response procedures that mitigate the impacts of incidents, including internal and external communication actions that contain escalation and notification triggers and processes;
- Performing periodic testing and exercises using plausible scenarios in order to identify and remedy gaps in incident response actions and capabilities;
- Conducting periodic exercises and testing of incident management process, playbooks, and other response tools (e.g., coordination and communication) to validate and maintain their effectiveness; and
- Establishing and periodically testing incident management processes with third parties.",Semantic,Superset of,9,10,"RC.RP-05.02: Business, technology, cybersecurity, and relevant third-party stakeholders confirm that systems, data, and services have been returned to functional and secure states and that a stable operational status has been achieved.",RECOVER / Incident Recovery Plan Execution / Asset Integrity Restoration,RC.RP-05.02
OSFI B-13-24,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.7 Incident and Problem Management
Principle 10: THE FRFI should effectively detect, log, manage, resolve, monitor and report on technology incidents and minimize their impacts.","2.7.2 Incident management process is clear, responsive and risk-based","FRFIs should implement processes and procedures for managing technology incidents; elements may include:
- Defining and documenting roles and responsibilities of relevant internal and external parties to support effective incident response;
- Establishing early warning indicators or triggers of system disruption (i.e., detection) that are informed by ongoing threat assessment and risk surveillance activities;
- Identifying and classifying incidents according to priority, based on their impacts on business services;
- Developing and implementing incident response procedures that mitigate the impacts of incidents, including internal and external communication actions that contain escalation and notification triggers and processes;
- Performing periodic testing and exercises using plausible scenarios in order to identify and remedy gaps in incident response actions and capabilities;
- Conducting periodic exercises and testing of incident management process, playbooks, and other response tools (e.g., coordination and communication) to validate and maintain their effectiveness; and
- Establishing and periodically testing incident management processes with third parties.",Semantic,Superset of,9,10,"RC.RP-06.01: Incident management activities are closed under defined conditions and documentation to support subsequent post-mortem review, process improvement, and any follow-on activities is collected and verified.",RECOVER / Incident Recovery Plan Execution / End-of-Incident Determination,RC.RP-06.01
OSFI B-13-24,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.7 Incident and Problem Management
Principle 10: THE FRFI should effectively detect, log, manage, resolve, monitor and report on technology incidents and minimize their impacts.","2.7.2 Incident management process is clear, responsive and risk-based","FRFIs should implement processes and procedures for managing technology incidents; elements may include:
- Defining and documenting roles and responsibilities of relevant internal and external parties to support effective incident response;
- Establishing early warning indicators or triggers of system disruption (i.e., detection) that are informed by ongoing threat assessment and risk surveillance activities;
- Identifying and classifying incidents according to priority, based on their impacts on business services;
- Developing and implementing incident response procedures that mitigate the impacts of incidents, including internal and external communication actions that contain escalation and notification triggers and processes;
- Performing periodic testing and exercises using plausible scenarios in order to identify and remedy gaps in incident response actions and capabilities;
- Conducting periodic exercises and testing of incident management process, playbooks, and other response tools (e.g., coordination and communication) to validate and maintain their effectiveness; and
- Establishing and periodically testing incident management processes with third parties.",Semantic,Superset of,9,10,"RC.CO-04.01: Pre-established communication plans and message templates, and authorized protocols, contacts, media, and communications, are used to notify and inform the public and key external stakeholders about an incident.",RECOVER / Incident Recovery Communication / Public Information Sharing,RC.CO-04.01
OSFI B-13-25,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.7 Incident and Problem Management
Principle 10: THE FRFI should effectively detect, log, manage, resolve, monitor and report on technology incidents and minimize their impacts.","2.7.3 Processes are established to investigate, resolve and learn from problems","FRFIs should develop problem management processes that provide for the detection, categorization, investigation and resolution of suspected incident cause(s). Processes should include post-incident reviews, root cause and impact diagnostics and identification of trends or patterns in incidents. Problem management activities and findings should inform related control processes and be used on an ongoing basis to improve incident management processes and procedures, including change and release management.",Semantic,Superset of,8,10,"ID.IM-03.02: The organization establishes a systematic and comprehensive program to regularly evaluate and improve its monitoring and detection processes and controls as the threat environment changes, tools and techniques evolve, and lessons are learned.",IDENTIFY / Improvement / Improvements from Lessons Learned,ID.IM-03.02
OSFI B-13-25,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.7 Incident and Problem Management
Principle 10: THE FRFI should effectively detect, log, manage, resolve, monitor and report on technology incidents and minimize their impacts.","2.7.3 Processes are established to investigate, resolve and learn from problems","FRFIs should develop problem management processes that provide for the detection, categorization, investigation and resolution of suspected incident cause(s). Processes should include post-incident reviews, root cause and impact diagnostics and identification of trends or patterns in incidents. Problem management activities and findings should inform related control processes and be used on an ongoing basis to improve incident management processes and procedures, including change and release management.",Semantic,equal,10,10,"PR.PS-07.01: The organization's technology operations, process verification, error detection, issue management, root cause analysis, and problem management functions are formally documented, monitored, and KPIs are regularly reported to stakeholders.","PROTECT / Platform Security / Technology Operations, Service, & Support",PR.PS-07.01
OSFI B-13-25,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.7 Incident and Problem Management
Principle 10: THE FRFI should effectively detect, log, manage, resolve, monitor and report on technology incidents and minimize their impacts.","2.7.3 Processes are established to investigate, resolve and learn from problems","FRFIs should develop problem management processes that provide for the detection, categorization, investigation and resolution of suspected incident cause(s). Processes should include post-incident reviews, root cause and impact diagnostics and identification of trends or patterns in incidents. Problem management activities and findings should inform related control processes and be used on an ongoing basis to improve incident management processes and procedures, including change and release management.",Semantic,Intersects with,8,10,"DE.AE-02.02: The organization establishes, documents, and regularly reviews event alert parameters and thresholds, as well as rule-based triggers to support automated responses, when known attack patterns, signatures or behaviors are detected.",DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis,DE.AE-02.02
OSFI B-13-25,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.7 Incident and Problem Management
Principle 10: THE FRFI should effectively detect, log, manage, resolve, monitor and report on technology incidents and minimize their impacts.","2.7.3 Processes are established to investigate, resolve and learn from problems","FRFIs should develop problem management processes that provide for the detection, categorization, investigation and resolution of suspected incident cause(s). Processes should include post-incident reviews, root cause and impact diagnostics and identification of trends or patterns in incidents. Problem management activities and findings should inform related control processes and be used on an ongoing basis to improve incident management processes and procedures, including change and release management.",Semantic,Superset of,7,10,"RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination,RS.AN-03.01
OSFI B-13-26,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.8 Technology Service Measurement and Monitoring
Principle 11: The FRFI should develop service and capacity standards, and processes to monitor operational management of technology, ensuring business needs are met.","2.8.1 Technology service performance is measured, monitored and regularly reviewed for improvement",FRFIs should establish technology service management standards with defined performance indicators and/or service targets that can be used to measure and monitor the delivery of technology services. Processes should also provide for remediation where targets are not being met.,Semantic,Intersects with,7,10,"ID.IM-01.02: The organization implements a regular process to collect, store, report, benchmark, and assess trends in actionable performance indicators and risk metrics (e.g., threat KRIs, security incident metrics, vulnerability metrics, and operational measures).",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.02
OSFI B-13-26,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.8 Technology Service Measurement and Monitoring
Principle 11: The FRFI should develop service and capacity standards, and processes to monitor operational management of technology, ensuring business needs are met.","2.8.1 Technology service performance is measured, monitored and regularly reviewed for improvement",FRFIs should establish technology service management standards with defined performance indicators and/or service targets that can be used to measure and monitor the delivery of technology services. Processes should also provide for remediation where targets are not being met.,Semantic,Intersects with,7,10,"ID.IM-01.03: The organization establishes specific objectives, performance criteria, benchmarks, and tolerance limits to identify areas that have improved or are in need of improvement over time.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.03
OSFI B-13-26,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.8 Technology Service Measurement and Monitoring
Principle 11: The FRFI should develop service and capacity standards, and processes to monitor operational management of technology, ensuring business needs are met.","2.8.1 Technology service performance is measured, monitored and regularly reviewed for improvement",FRFIs should establish technology service management standards with defined performance indicators and/or service targets that can be used to measure and monitor the delivery of technology services. Processes should also provide for remediation where targets are not being met.,Semantic,Superset of,9,10,"PR.PS-07.02: Technology service and support functions address stakeholder expectations (e.g., through stated requirements, SLAs, or OLAs) and performance is monitored and regularly reported to stakeholders.","PROTECT / Platform Security / Technology Operations, Service, & Support",PR.PS-07.02
OSFI B-13-27,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.8 Technology Service Measurement and Monitoring
Principle 11: The FRFI should develop service and capacity standards, and processes to monitor operational management of technology, ensuring business needs are met.",2.8.2 Technology infrastructure performance and capacity are sufficient,FRFIs should define performance and capacity requirements with thresholds on infrastructure utilization. These requirements should be continuously monitored against defined thresholds to ensure technology performance and capacity support current and future business needs.,Semantic,Intersects with,8,10,"PR.IR-02.01: The organization designs, documents, implements, tests, and maintains environmental and physical controls to meet defined business resilience requirements (e.g., environmental monitoring, dual power and communication sources, regionally separated backup processing facilities, etc.)",PROTECT / Technology Infrastructure Resilience / Environmental Threat Protections,PR.IR-02.01
OSFI B-13-27,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.8 Technology Service Measurement and Monitoring
Principle 11: The FRFI should develop service and capacity standards, and processes to monitor operational management of technology, ensuring business needs are met.",2.8.2 Technology infrastructure performance and capacity are sufficient,FRFIs should define performance and capacity requirements with thresholds on infrastructure utilization. These requirements should be continuously monitored against defined thresholds to ensure technology performance and capacity support current and future business needs.,Semantic,Intersects with,8,10,"PR.IR-03.01:  The organization implements mechanisms (e.g., failsafe, load balancing, hot swaps, redundant equipment, alternate services, backup facilities, etc.) to achieve resilience requirements in normal and adverse situations.",PROTECT / Technology Infrastructure Resilience / Resilience Measures,PR.IR-03.01
OSFI B-13-27,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.8 Technology Service Measurement and Monitoring
Principle 11: The FRFI should develop service and capacity standards, and processes to monitor operational management of technology, ensuring business needs are met.",2.8.2 Technology infrastructure performance and capacity are sufficient,FRFIs should define performance and capacity requirements with thresholds on infrastructure utilization. These requirements should be continuously monitored against defined thresholds to ensure technology performance and capacity support current and future business needs.,Semantic,Intersects with,9,10,PR.IR-04.01: Baseline measures of network and system utilization and transaction activity are captured to support capacity planning and anomalous activity detection.,PROTECT / Technology Infrastructure Resilience / Capacity Management,PR.IR-04.01
OSFI B-13-27,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.8 Technology Service Measurement and Monitoring
Principle 11: The FRFI should develop service and capacity standards, and processes to monitor operational management of technology, ensuring business needs are met.",2.8.2 Technology infrastructure performance and capacity are sufficient,FRFIs should define performance and capacity requirements with thresholds on infrastructure utilization. These requirements should be continuously monitored against defined thresholds to ensure technology performance and capacity support current and future business needs.,Semantic,Superset of,7,10,"PR.IR-04.02: Technology availability and capacity is planned, monitored, managed, and optimized to meet business resilience objectives and reasonably anticipated infrastructure demands.",PROTECT / Technology Infrastructure Resilience / Capacity Management,PR.IR-04.02
OSFI B-13-28,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.9 Disaster recovery program is established
Principle 12: FRFIs should establish and maintain an Enterprise Disaster Recovery Program (EDRP) to support its ability to deliver technology services through disruption and operate within its risk tolerance.
Principle 13: FRFIs should perform scenario testing on disaster recovery capabilities to confirm its technology services operate as expected through disruption.",2.9.1 Disaster recovery program is established,"FRFIs should develop, implement and maintain an ERDP that sets out their approach to recovering technology services during a disruption. FRFIs should align the disaster recovery program with its business continuity management program. The EDRP should establish:
- Accountability and responsibility for the availability and recovery of technology services, including recovery actions;
A process for identifying and analyzing technology services and key dependencies required to operate within the FRFI’s risk tolerance;
- Plans, procedures and/or capabilities to recover technology services to an acceptable level, within an acceptable timeframe, as defined and prioritized by the FRFI; and,
A policy or standard with controls for data back-up and recovery processes, requirements for data storage and periodic testing.",Semantic,Intersects with,9,10,"GV.OC-04.02: The organization documents the business processes that are critical for the delivery of services and the functioning of the organization, and the impacts to the business if those processes are degraded or not functioning.",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.02
OSFI B-13-28,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.9 Disaster recovery program is established
Principle 12: FRFIs should establish and maintain an Enterprise Disaster Recovery Program (EDRP) to support its ability to deliver technology services through disruption and operate within its risk tolerance.
Principle 13: FRFIs should perform scenario testing on disaster recovery capabilities to confirm its technology services operate as expected through disruption.",2.9.1 Disaster recovery program is established,"FRFIs should develop, implement and maintain an ERDP that sets out their approach to recovering technology services during a disruption. FRFIs should align the disaster recovery program with its business continuity management program. The EDRP should establish:
- Accountability and responsibility for the availability and recovery of technology services, including recovery actions;
A process for identifying and analyzing technology services and key dependencies required to operate within the FRFI’s risk tolerance;
- Plans, procedures and/or capabilities to recover technology services to an acceptable level, within an acceptable timeframe, as defined and prioritized by the FRFI; and,
A policy or standard with controls for data back-up and recovery processes, requirements for data storage and periodic testing.",Semantic,Superset of,9,10,"GV.OC-04.03: Resilience requirements to support the delivery of critical services are established for all operating states (e.g., under duress/attack, during recovery, and normal operations).",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.03
OSFI B-13-28,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.9 Disaster recovery program is established
Principle 12: FRFIs should establish and maintain an Enterprise Disaster Recovery Program (EDRP) to support its ability to deliver technology services through disruption and operate within its risk tolerance.
Principle 13: FRFIs should perform scenario testing on disaster recovery capabilities to confirm its technology services operate as expected through disruption.",2.9.1 Disaster recovery program is established,"FRFIs should develop, implement and maintain an ERDP that sets out their approach to recovering technology services during a disruption. FRFIs should align the disaster recovery program with its business continuity management program. The EDRP should establish:
- Accountability and responsibility for the availability and recovery of technology services, including recovery actions;
A process for identifying and analyzing technology services and key dependencies required to operate within the FRFI’s risk tolerance;
- Plans, procedures and/or capabilities to recover technology services to an acceptable level, within an acceptable timeframe, as defined and prioritized by the FRFI; and,
A policy or standard with controls for data back-up and recovery processes, requirements for data storage and periodic testing.",Semantic,Intersects with,9,10,"GV.OC-04.04: The organization prioritizes the resilience design, planning, testing, and monitoring of systems and other key internal and external dependencies according to their criticality to the supported business functions, enterprise mission, and to the financial services sector.",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.04
OSFI B-13-28,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.9 Disaster recovery program is established
Principle 12: FRFIs should establish and maintain an Enterprise Disaster Recovery Program (EDRP) to support its ability to deliver technology services through disruption and operate within its risk tolerance.
Principle 13: FRFIs should perform scenario testing on disaster recovery capabilities to confirm its technology services operate as expected through disruption.",2.9.1 Disaster recovery program is established,"FRFIs should develop, implement and maintain an ERDP that sets out their approach to recovering technology services during a disruption. FRFIs should align the disaster recovery program with its business continuity management program. The EDRP should establish:
- Accountability and responsibility for the availability and recovery of technology services, including recovery actions;
A process for identifying and analyzing technology services and key dependencies required to operate within the FRFI’s risk tolerance;
- Plans, procedures and/or capabilities to recover technology services to an acceptable level, within an acceptable timeframe, as defined and prioritized by the FRFI; and,
A policy or standard with controls for data back-up and recovery processes, requirements for data storage and periodic testing.",Semantic,Superset of,9,10,"GV.OC-05.03: The organization defines objectives (e.g., Recovery Time Objective, Maximum Tolerable Downtime, Impact Tolerance) for the resumption of critical operations in alignment with business imperatives, stakeholder obligations, and critical infrastructure dependencies.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.03
OSFI B-13-28,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.9 Disaster recovery program is established
Principle 12: FRFIs should establish and maintain an Enterprise Disaster Recovery Program (EDRP) to support its ability to deliver technology services through disruption and operate within its risk tolerance.
Principle 13: FRFIs should perform scenario testing on disaster recovery capabilities to confirm its technology services operate as expected through disruption.",2.9.1 Disaster recovery program is established,"FRFIs should develop, implement and maintain an ERDP that sets out their approach to recovering technology services during a disruption. FRFIs should align the disaster recovery program with its business continuity management program. The EDRP should establish:
- Accountability and responsibility for the availability and recovery of technology services, including recovery actions;
A process for identifying and analyzing technology services and key dependencies required to operate within the FRFI’s risk tolerance;
- Plans, procedures and/or capabilities to recover technology services to an acceptable level, within an acceptable timeframe, as defined and prioritized by the FRFI; and,
A policy or standard with controls for data back-up and recovery processes, requirements for data storage and periodic testing.",Semantic,Superset of,9,10,"GV.OC-05.04: Recovery point objectives to support data integrity are consistent with the organization's recovery time objectives, information flow dependencies between systems, and business obligations.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.04
OSFI B-13-28,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.9 Disaster recovery program is established
Principle 12: FRFIs should establish and maintain an Enterprise Disaster Recovery Program (EDRP) to support its ability to deliver technology services through disruption and operate within its risk tolerance.
Principle 13: FRFIs should perform scenario testing on disaster recovery capabilities to confirm its technology services operate as expected through disruption.",2.9.1 Disaster recovery program is established,"FRFIs should develop, implement and maintain an ERDP that sets out their approach to recovering technology services during a disruption. FRFIs should align the disaster recovery program with its business continuity management program. The EDRP should establish:
- Accountability and responsibility for the availability and recovery of technology services, including recovery actions;
A process for identifying and analyzing technology services and key dependencies required to operate within the FRFI’s risk tolerance;
- Plans, procedures and/or capabilities to recover technology services to an acceptable level, within an acceptable timeframe, as defined and prioritized by the FRFI; and,
A policy or standard with controls for data back-up and recovery processes, requirements for data storage and periodic testing.",Semantic,Superset of,9,10,"GV.RM-09.01: The organization has an enterprise-wide resilience strategy and program, including architecture, cyber resilience, business continuity, disaster recovery, and incident response, which support its mission, stakeholder obligations, critical infrastructure role, and risk appetite.",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.01
OSFI B-13-28,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.9 Disaster recovery program is established
Principle 12: FRFIs should establish and maintain an Enterprise Disaster Recovery Program (EDRP) to support its ability to deliver technology services through disruption and operate within its risk tolerance.
Principle 13: FRFIs should perform scenario testing on disaster recovery capabilities to confirm its technology services operate as expected through disruption.",2.9.1 Disaster recovery program is established,"FRFIs should develop, implement and maintain an ERDP that sets out their approach to recovering technology services during a disruption. FRFIs should align the disaster recovery program with its business continuity management program. The EDRP should establish:
- Accountability and responsibility for the availability and recovery of technology services, including recovery actions;
A process for identifying and analyzing technology services and key dependencies required to operate within the FRFI’s risk tolerance;
- Plans, procedures and/or capabilities to recover technology services to an acceptable level, within an acceptable timeframe, as defined and prioritized by the FRFI; and,
A policy or standard with controls for data back-up and recovery processes, requirements for data storage and periodic testing.",Semantic,Intersects with,9,10,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.02
OSFI B-13-28,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.9 Disaster recovery program is established
Principle 12: FRFIs should establish and maintain an Enterprise Disaster Recovery Program (EDRP) to support its ability to deliver technology services through disruption and operate within its risk tolerance.
Principle 13: FRFIs should perform scenario testing on disaster recovery capabilities to confirm its technology services operate as expected through disruption.",2.9.1 Disaster recovery program is established,"FRFIs should develop, implement and maintain an ERDP that sets out their approach to recovering technology services during a disruption. FRFIs should align the disaster recovery program with its business continuity management program. The EDRP should establish:
- Accountability and responsibility for the availability and recovery of technology services, including recovery actions;
A process for identifying and analyzing technology services and key dependencies required to operate within the FRFI’s risk tolerance;
- Plans, procedures and/or capabilities to recover technology services to an acceptable level, within an acceptable timeframe, as defined and prioritized by the FRFI; and,
A policy or standard with controls for data back-up and recovery processes, requirements for data storage and periodic testing.",Semantic,Superset of,9,10,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.03
OSFI B-13-28,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.9 Disaster recovery program is established
Principle 12: FRFIs should establish and maintain an Enterprise Disaster Recovery Program (EDRP) to support its ability to deliver technology services through disruption and operate within its risk tolerance.
Principle 13: FRFIs should perform scenario testing on disaster recovery capabilities to confirm its technology services operate as expected through disruption.",2.9.1 Disaster recovery program is established,"FRFIs should develop, implement and maintain an ERDP that sets out their approach to recovering technology services during a disruption. FRFIs should align the disaster recovery program with its business continuity management program. The EDRP should establish:
- Accountability and responsibility for the availability and recovery of technology services, including recovery actions;
A process for identifying and analyzing technology services and key dependencies required to operate within the FRFI’s risk tolerance;
- Plans, procedures and/or capabilities to recover technology services to an acceptable level, within an acceptable timeframe, as defined and prioritized by the FRFI; and,
A policy or standard with controls for data back-up and recovery processes, requirements for data storage and periodic testing.",Semantic,Superset of,9,10,"GV.RR-02.03: Resilience program roles and responsibilities are assigned to management across the organization to ensure risk assessment, planning, testing, and execution coverage for all critical business functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.03
OSFI B-13-28,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.9 Disaster recovery program is established
Principle 12: FRFIs should establish and maintain an Enterprise Disaster Recovery Program (EDRP) to support its ability to deliver technology services through disruption and operate within its risk tolerance.
Principle 13: FRFIs should perform scenario testing on disaster recovery capabilities to confirm its technology services operate as expected through disruption.",2.9.1 Disaster recovery program is established,"FRFIs should develop, implement and maintain an ERDP that sets out their approach to recovering technology services during a disruption. FRFIs should align the disaster recovery program with its business continuity management program. The EDRP should establish:
- Accountability and responsibility for the availability and recovery of technology services, including recovery actions;
A process for identifying and analyzing technology services and key dependencies required to operate within the FRFI’s risk tolerance;
- Plans, procedures and/or capabilities to recover technology services to an acceptable level, within an acceptable timeframe, as defined and prioritized by the FRFI; and,
A policy or standard with controls for data back-up and recovery processes, requirements for data storage and periodic testing.",Semantic,Superset of,9,10,"GV.PO-01.07: The organization maintains documented business continuity and resilience program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.07
OSFI B-13-28,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.9 Disaster recovery program is established
Principle 12: FRFIs should establish and maintain an Enterprise Disaster Recovery Program (EDRP) to support its ability to deliver technology services through disruption and operate within its risk tolerance.
Principle 13: FRFIs should perform scenario testing on disaster recovery capabilities to confirm its technology services operate as expected through disruption.",2.9.1 Disaster recovery program is established,"FRFIs should develop, implement and maintain an ERDP that sets out their approach to recovering technology services during a disruption. FRFIs should align the disaster recovery program with its business continuity management program. The EDRP should establish:
- Accountability and responsibility for the availability and recovery of technology services, including recovery actions;
A process for identifying and analyzing technology services and key dependencies required to operate within the FRFI’s risk tolerance;
- Plans, procedures and/or capabilities to recover technology services to an acceptable level, within an acceptable timeframe, as defined and prioritized by the FRFI; and,
A policy or standard with controls for data back-up and recovery processes, requirements for data storage and periodic testing.",Semantic,Superset of,9,10,"GV.SC-08.01: The organization's resilience strategy, plans, tests, and exercises incorporate its external dependencies and critical business partners.",GOVERN / Supply Chain Risk Management / Third Party Incident Management Integration,GV.SC-08.01
OSFI B-13-28,"2. Technology Operations

Outcome: A technology environment that is stable, scalable and resilient. The environment is kept current and supported by robust and sustainable technology operating processes.","2.9 Disaster recovery program is established
Principle 12: FRFIs should establish and maintain an Enterprise Disaster Recovery Program (EDRP) to support its ability to deliver technology services through disruption and operate within its risk tolerance.
Principle 13: FRFIs should perform scenario testing on disaster recovery capabilities to confirm its technology services operate as expected through disruption.",2.9.1 Disaster recovery program is established,"FRFIs should develop, implement and maintain an ERDP that sets out their approach to recovering technology services during a disruption. FRFIs should align the disaster recovery program with its business continuity management program. The EDRP should establish:
- Accountability and responsibility for the availability and recovery of technology services, including recovery actions;
A process for identifying and analyzing technology services and key dependencies required to operate within the FRFI’s risk tolerance;
- Plans, procedures and/or capabilities to recover technology services to an acceptable level, within an acceptable timeframe, as defined and prioritized by the FRFI; and,
A policy or standard with controls for data back-up and recovery processes, requirements for data storage and periodic testing.",Semantic,Superset of,9,10,"ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.01
